"","SiteWs","Site","WS","Solute","Q_Ls","mgL","FWMC","Date"
"1","BBWM_EB","BBWM","EB","Ca",43.6128,1.44781775,1.27659572926162,1988-03-01
"2","BBWM_EB","BBWM","EB","DOC",43.6128,2.3,3.3739288969918,1988-03-01
"3","BBWM_EB","BBWM","EB","NH4",43.6128,0.0196,0.0196,1988-03-01
"4","BBWM_EB","BBWM","EB","NO3",43.6128,0.267575,0.334572561531449,1988-03-01
"5","BBWM_EB","BBWM","EB","SO4",43.6128,1.5050509375,1.34645962511395,1988-03-01
"6","BBWM_EB","BBWM","EB","Ca",5.3808,1.54801275,1.54181648026316,1988-04-01
"7","BBWM_EB","BBWM","EB","DOC",5.3808,1.675,1.69013157894737,1988-04-01
"8","BBWM_EB","BBWM","EB","NH4",5.3808,0.02632,0.0277347368421053,1988-04-01
"9","BBWM_EB","BBWM","EB","NO3",5.3808,0.09695,0.0933210526315789,1988-04-01
"10","BBWM_EB","BBWM","EB","SO4",5.3808,1.6774003125,1.67898246710526,1988-04-01
"11","BBWM_EB","BBWM","EB","Ca",2.32224,1.5850849,1.56084259756098,1988-05-01
"12","BBWM_EB","BBWM","EB","DOC",2.32224,1.59,1.58658536585366,1988-05-01
"13","BBWM_EB","BBWM","EB","NH4",2.32224,0.0196,0.0196,1988-05-01
"14","BBWM_EB","BBWM","EB","NO3",2.32224,0.02401,0.0349573170731707,1988-05-01
"15","BBWM_EB","BBWM","EB","SO4",2.32224,1.75235225,1.73952625,1988-05-01
"16","BBWM_EB","BBWM","EB","Ca",0.1416,2.20429,1.7934905,1988-06-01
"17","BBWM_EB","BBWM","EB","DOC",0.1416,1.6,1.5,1988-06-01
"18","BBWM_EB","BBWM","EB","NH4",0.1416,0.0196,0.0196,1988-06-01
"19","BBWM_EB","BBWM","EB","NO3",0.1416,0.004725,7e-04,1988-06-01
"20","BBWM_EB","BBWM","EB","SO4",0.1416,1.815680625,1.8116725,1988-06-01
"21","BBWM_EB","BBWM","EB","Ca",0.9204,1.998389275,1.82570704615385,1988-08-01
"22","BBWM_EB","BBWM","EB","DOC",0.9204,2.4575,2.69846153846154,1988-08-01
"23","BBWM_EB","BBWM","EB","NH4",0.9204,0.0196,0.0196,1988-08-01
