"","SiteWs","Site","WS","Date","Ca_fwmc_mgL","DOC_fwmc_mgL","NH4_fwmc_mgL","NO3_fwmc_mgL","SO4_fwmc_mgL","TDP_fwmc_mgL"
"1104","DOR_HP4","DOR","HP4",2002-07-01,2.73016998741586,6.67299486522754,0.011527573535734,0.152558217944261,0.00479168367864119,0.0147201969780527
"1105","DOR_HP4","DOR","HP4",2002-08-01,3.24028048650444,6.00484159958528,0.0134989351696447,0.140871059612451,NA,0.0124745895432789
"1106","DOR_HP4","DOR","HP4",2002-09-01,3.51911709827371,5.56262009785692,0.00819009521088779,0.136877281137605,0.00569286766558646,0.011803806744186
"1107","DOR_HP4","DOR","HP4",2002-10-01,3.60800786781283,7.02930456580614,0.0126589221695417,0.0209887269493552,0.00627090572405647,0.00732808621290554
"1108","DOR_HP4","DOR","HP4",2002-11-01,2.91819342623747,9.74967116266257,0.0114598772473368,0.0315001939154804,0.0065076061914037,0.00798691944886724
"1109","DOR_HP4","DOR","HP4",2002-12-01,2.40944351579084,5.92021733917939,0.0105617387134351,0.0624721757895419,0.00554552185380534,0.00830556484209161
"1110","DOR_HP4","DOR","HP4",2003-01-01,3.23790287770043,6.11048561149787,0.0402097122299573,0.101237859712553,0.00818094649281383,0.00522097122299573
"1111","DOR_HP4","DOR","HP4",2003-02-01,3.18023907197605,5.83972014383273,0.071740629763412,0.100811261375353,0.00779152329482931,0.00737681484589332
"1112","DOR_HP4","DOR","HP4",2003-03-01,2.64059080672699,6.44112559157559,0.109851307441815,0.138942576936837,0.00662160585264714,0.017221500162161
"1113","DOR_HP4","DOR","HP4",2003-04-01,2.08474731104729,6.23989179427647,0.0564310028164003,0.0732209685235996,0.0060059796981041,0.00993554274882121
"1114","DOR_HP4","DOR","HP4",2003-05-01,2.36442113301718,6.62225942017912,0.0128445389014976,0.0335185933934059,0.00604601613842707,0.00949126612551664
"1115","DOR_HP4","DOR","HP4",2003-06-01,2.76958091843674,6.6185621118538,0.0062655081626159,0.0543075417686445,0.00532524217584345,0.00989763163597507
"1116","DOR_HP4","DOR","HP4",2003-07-01,3.11123224772411,7.23968033963413,0.0115931944652785,0.115314079390211,0.00466913466005066,0.0117176105929584
"1117","DOR_HP4","DOR","HP4",2003-08-01,3.9,10.2,0.014,0.068,0.0032,0.0128
"1118","DOR_HP4","DOR","HP4",2003-09-01,3.6883003942223,6.72347580227609,0.00397329294868241,0.0734075825413783,0.00522868484948278,0.0129711228440426
"1119","DOR_HP4","DOR","HP4",2003-10-01,3.10222586414719,7.81838295354604,0.00448023093254775,0.0172357647548745,0.00558987813075324,0.00991340751527219
"1120","DOR_HP4","DOR","HP4",2003-11-01,2.2404838345898,9.85272623345449,0.0234165973974779,0.0428934682618214,0.00576197000754722,0.00952356198495294
"1121","DOR_HP4","DOR","HP4",2003-12-01,3.17964825052559,7.22367620670376,0.00751345606460794,0.0604350562553942,0.0067664724277165,0.00533024378375692
"1122","DOR_HP4","DOR","HP4",2004-01-01,2.74311187017478,5.74787815261698,0.01,0.086987705970885,0.00732898220290667,0.00646543513082409
"1123","DOR_HP4","DOR","HP4",2004-02-01,2.86018300905515,5.94811008709398,0.0212405504354699,0.116364474027669,0.00690332685112392,0.00830335516601117
"1124","DOR_HP4","DOR","HP4",2004-03-01,2.31617269159935,6.30002291102929,0.0385568214452983,0.1240708886555,0.00555188341623206,0.0189345221767427
"1125","DOR_HP4","DOR","HP4",2004-04-01,1.89117184486319,4.93144964289533,0.0109643145785503,0.0673579973163573,0.00551656116669258,0.0107489960145655
