"","Site","Date","Ca_fwmc_mgL","DOC_fwmc_mgL","NH4_fwmc_mgL","NO3_fwmc_mgL","SO4_fwmc_mgL","TDP_fwmc_mgL"
"1","BBWM",0,28,29,48,28,28,100
"2","DOR",0,19.5,19.6666666666667,19.5,19.5,20,19.8333333333333
"3","ELA",0,56.3333333333333,56.3333333333333,56.3333333333333,63.6666666666667,56.3333333333333,56.3333333333333
"4","HBEF",0,29.5,36.5,29.5,29.5,29.5,29.5
"5","HJA",0,1,67,1,1,13,0.5
"6","MEF",0,51,59,100,100,57.5,100
"7","SLP",0,24,24,24,24,24,100
"8","TLW",0,16.6666666666667,27.3333333333333,16.6666666666667,16.6666666666667,17,27.3333333333333
