"","Site","Date","Ca_fwmc_mgL","DOC_fwmc_mgL","NH4_fwmc_mgL","NO3_fwmc_mgL","SO4_fwmc_mgL","TDP_fwmc_mgL"
"1","BBWM",0,53,54,89,54,53,142
"2","DOR",0,61.5,61.6666666666667,61.5,61.5,62,61.8333333333333
"3","ELA",0,90,88.3333333333333,88.3333333333333,97,90.3333333333333,88.3333333333333
"4","HBEF",0,34.75,41.75,34.75,34.75,34.75,34.75
"5","HJA",0,9,75,9.5,9,21,8.5
"6","MEF",0,77.5,86,142,142,84.5,142
"7","SLP",0,34,34,34,34,34,111
"8","TLW",0,51.6666666666667,61.6666666666667,51.6666666666667,51.6666666666667,51.6666666666667,64.3333333333333
