Site,WS,Date,Q_Ls,Ca_mgL,DOC_mgL,NH4_mgL,NO3_mgL,SRP_mgL,SO4_mgL
TLW,C35,1985-11-24,1.1,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-24,1.47,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-25,2.4,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-25,1.1,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-25,1.3,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-26,2.6,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-26,1.1,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-26,1.33,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-27,2.6,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-27,0.9,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-27,1.15,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-28,2.7,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-28,0.9,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-28,1.02,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-29,2.9,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-29,0.7999999999999999,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-29,1.02,NA,NA,NA,NA,NA,NA
TLW,C32,1985-11-30,3.1,NA,NA,NA,NA,NA,NA
TLW,C35,1985-11-30,0.9,NA,NA,NA,NA,NA,NA
TLW,C38,1985-11-30,0.92,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-01,3.7,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-01,0.9,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-01,0.8700000000000001,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-02,4.3,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-02,0.9,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-02,0.8700000000000001,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-03,2.9,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-03,0.9,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-03,0.81,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-04,1.7,8.55,NA,0.0154,0.581,0.0021,2.3
TLW,C35,1985-12-04,0.9,4.92,NA,0.005,0.552,0.0018,2.01
TLW,C38,1985-12-04,0.77,5.9,NA,0.0272,0.053,0.0055,1.3066666666666666
TLW,C32,1985-12-05,0.8999999999999999,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-05,0.7999999999999999,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-05,0.68,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-06,0.8,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-06,0.9,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-06,0.79,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-07,0.8999999999999999,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-07,0.7999999999999999,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-07,0.81,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-08,0.8,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-08,0.7999999999999999,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-08,0.72,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-09,0.8,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-09,0.7999999999999999,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-09,0.58,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-10,0.8,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-10,0.7999999999999999,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-10,0.47000000000000003,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-11,0.8,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-11,0.7999999999999999,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-11,0.62,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-12,0.7,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-12,0.7,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-12,0.57,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-13,0.7,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-13,0.7,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-13,0.61,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-14,0.8,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-14,0.6,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-14,0.56,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-15,0.6,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-15,0.6,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-15,0.46,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-16,0.6,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-16,0.5,NA,NA,NA,NA,NA,NA
TLW,C38,1985-12-16,0.4,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-17,0.6,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-17,0.5,5.17,NA,0.005,0.534,0.0036,2.2733333333333334
TLW,C38,1985-12-17,0.41,NA,NA,NA,NA,NA,NA
TLW,C32,1985-12-18,0.7,NA,NA,NA,NA,NA,NA
TLW,C35,1985-12-18,0.5,NA,NA,NA,NA,NA,NA
