Watershed,Record_Type,Date,Year,Month,Day,Hour,Ca_ueq_L,Mg_ueq_L,NO3_ueq_L,SO4_ueq_L,NH4_ueq_L,DOC_mg_L
WB,ISCO,5/16/1992,1992,5,16,16,126,48,66.3,154,1.4,1.3
EB,ISCO,5/17/1992,1992,5,17,16,73,28,2.3,109,1.4,2
WB,ISCO,5/17/1992,1992,5,17,16,124,48,63.1,154,1.4,1.4
EB,ISCO,5/18/1992,1992,5,18,16,73,28,2.2,108,1.4,1.9
WB,ISCO,5/18/1992,1992,5,18,16,124,47,61.4,153,1.4,1.4
WB,REG,5/19/1992,1992,5,19,11,120,48,60.5,154,1.4,0.9
EB,REG,5/19/1992,1992,5,19,12,72,29,2.1,109,1.4,1.7
EB,ISCO,5/19/1992,1992,5,19,16,74,29,1.9,108,1.4,1.9
WB,ISCO,5/19/1992,1992,5,19,16,124,47,59.1,152,1.4,1.3
EB,ISCO,5/20/1992,1992,5,20,16,74,29,1.8,108,1.4,2
WB,ISCO,5/20/1992,1992,5,20,16,118,46,55.6,149,1.4,1.4
EB,ISCO,5/21/1992,1992,5,21,16,73,28,1.3,109,1.4,2.1
WB,ISCO,5/21/1992,1992,5,21,16,121,47,52.7,152,1.4,1.3
EB,ISCO,5/22/1992,1992,5,22,16,74,28,0.7,109,1.4,2.2
WB,ISCO,5/22/1992,1992,5,22,16,116,45,47.6,149,1.4,1.3
EB,ISCO,5/23/1992,1992,5,23,16,74,29,0.3,110,1.4,2.1
WB,ISCO,5/23/1992,1992,5,23,16,109,43,40.7,143,1.4,1.4
EB,ISCO,5/24/1992,1992,5,24,16,75,30,0.4,108,1.4,2
WB,ISCO,5/24/1992,1992,5,24,16,109,44,38.6,143,1.4,1.3
EB,ISCO,5/25/1992,1992,5,25,16,72,28,0.05,105,1.4,2.2
WB,ISCO,5/25/1992,1992,5,25,16,111,46,41.1,147,1.4,1.2
EB,REG,5/26/1992,1992,5,26,11,74,29,0.05,109,1.4,1.7
WB,REG,5/26/1992,1992,5,26,11,112,45,41.1,145,1.4,1
EB,ISCO,5/26/1992,1992,5,26,16,72,27,0.05,105,1.4,2.2
WB,ISCO,5/26/1992,1992,5,26,16,110,44,40,145,1.4,1.5
EB,ISCO,5/27/1992,1992,5,27,16,74,29,0.05,108,1.4,2.2
WB,ISCO,5/27/1992,1992,5,27,16,107,44,36.6,139,1.4,1.4
EB,ISCO,5/28/1992,1992,5,28,16,73,28,0.6,106,3.32,2.2
WB,ISCO,5/28/1992,1992,5,28,16,107,43,35,144,1.4,1.3
EB,ISCO,5/29/1992,1992,5,29,16,75,29,0.05,110,1.4,2.2
WB,ISCO,5/29/1992,1992,5,29,16,105,43,31.6,143,1.4,1.3
EB,ISCO,5/30/1992,1992,5,30,16,75,29,0.05,110,1.4,2.3
WB,ISCO,5/30/1992,1992,5,30,16,104,41,28.2,143,1.4,1.4
EB,ISCO,5/31/1992,1992,5,31,16,75,29,0.05,108,1.4,2.1
WB,ISCO,5/31/1992,1992,5,31,16,102,40,25.5,143,1.4,1.3
EB,ISCO,6/1/1992,1992,6,1,16,77,30,0.7,109,1.4,2.3
WB,ISCO,6/1/1992,1992,6,1,16,101,42,24.3,143,1.4,2.2
EB,REG,6/2/1992,1992,6,2,11,75,29,0.3,108,1.4,1.7
WB,REG,6/2/1992,1992,6,2,11,97,39,22.6,140,1.4,1.2
EB,ISCO,6/5/1992,1992,6,5,16,71,28,0.9,100,1.4,2.6
WB,ISCO,6/5/1992,1992,6,5,16,93,39,17,143,1.4,1.3
EB,ISCO,6/6/1992,1992,6,6,16,77,30,0.05,107,1.4,2.1
WB,ISCO,6/6/1992,1992,6,6,16,102,43,29.4,136,1.4,2.8
EB,ISCO,6/6/1992,1992,6,6,18,71,29,2.8,100,1.4,2.6
WB,ISCO,6/6/1992,1992,6,6,18,117,47,45.2,146,1.4,2.8
EB,ISCO,6/6/1992,1992,6,6,22,72,28,3,100,1.4,2.5
WB,ISCO,6/6/1992,1992,6,6,22,124,49,57.4,150,1.4,2.5
EB,ISCO,6/6/1992,1992,6,6,24,72,29,2.6,101,1.4,2.4
WB,ISCO,6/6/1992,1992,6,6,24,125,50,58.1,149,1.4,1.9
EB,ISCO,6/7/1992,1992,6,7,16,72,28,0.4,104,1.4,2.2
WB,ISCO,6/7/1992,1992,6,7,16,127,49,57,151,1.4,1.5
EB,ISCO,6/8/1992,1992,6,8,16,73,28,0.05,106,1.4,2.3
WB,ISCO,6/8/1992,1992,6,8,16,122,48,47.1,151,1.4,1.5
EB,REG,6/9/1992,1992,6,9,14,76,29,0.05,104,1.4,2.2
WB,REG,6/9/1992,1992,6,9,14,119,45,37.3,151,1.4,1.6
EB,ISCO,6/12/1992,1992,6,12,16,77,29,0.05,106,1.4,1.7
WB,ISCO,6/12/1992,1992,6,12,16,105,40,18.1,148,1.4,1.6
EB,ISCO,6/14/1992,1992,6,14,16,80,30,0.3,108,1.4,2.6
WB,ISCO,6/14/1992,1992,6,14,16,102,39,13.1,148,1.4,1.8
WB,REG,6/16/1992,1992,6,16,10,101,39,11.5,146,1.4,2
EB,REG,6/16/1992,1992,6,16,16,81,30,0.05,110,1.4,2.3
EB,ISCO,6/20/1992,1992,6,20,16,88,31,0.7,109,1.4,1.9
EB,ISCO,6/21/1992,1992,6,21,16,85,30,0.5,105,1.4,1.8
WB,ISCO,6/21/1992,1992,6,21,16,94,37,5.3,139,1.4,2.1
WB,ISCO,6/22/1992,1992,6,22,12,106,40,19.7,137,1.4,2
WB,ISCO,6/22/1992,1992,6,22,16,128,46,43.4,147,1.4,1.8
WB,ISCO,6/22/1992,1992,6,22,22,136,48,62.6,157,1.4,1.8
WB,ISCO,6/23/1992,1992,6,23,4,142,49,70.1,162,1.4,1.8
WB,ISCO,6/23/1992,1992,6,23,10,143,49,68.3,164,1.4,1.6
EB,REG,6/23/1992,1992,6,23,14,75,26,0.05,102,1.4,2.1
WB,REG,6/23/1992,1992,6,23,14,143,50,67.2,163,1.4,1.5
EB,ISCO,6/24/1992,1992,6,24,16,75,26,0.05,103,1.4,2.9
WB,ISCO,6/24/1992,1992,6,24,16,134,47,50.1,157,1.4,1.6
EB,ISCO,6/25/1992,1992,6,25,4,71,25,0.05,95,1.4,3.1
WB,ISCO,6/25/1992,1992,6,25,4,121,44,40.2,149,1.4,1.8
EB,ISCO,6/25/1992,1992,6,25,6,72,25,0.4,99,1.4,2.7
WB,ISCO,6/25/1992,1992,6,25,6,124,44,49.9,154,1.4,2
EB,ISCO,6/25/1992,1992,6,25,8,69,25,0.9,96,1.4,3.1
WB,ISCO,6/25/1992,1992,6,25,8,132,46,62,161,1.4,2.1
EB,ISCO,6/25/1992,1992,6,25,12,69,24,0.5,97,1.4,3
WB,ISCO,6/25/1992,1992,6,25,12,136,48,71.5,159,1.4,2
EB,ISCO,6/25/1992,1992,6,25,14,69,24,0.6,98,1.4,2.7
WB,ISCO,6/25/1992,1992,6,25,14,136,47,75.6,165,1.4,1.8
EB,ISCO,6/25/1992,1992,6,25,16,69,24,0.9,98,1.4,2.8
WB,ISCO,6/25/1992,1992,6,25,16,135,47,75.7,164,1.4,1.9
EB,ISCO,6/25/1992,1992,6,25,18,68,24,0.4,97,1.4,2.9
WB,ISCO,6/25/1992,1992,6,25,18,135,47,76.8,167,1.4,1.9
EB,ISCO,6/26/1992,1992,6,26,2,68,24,0.05,98,1.4,2.7
WB,ISCO,6/26/1992,1992,6,26,2,136,47,76,166,1.4,1.8
EB,ISCO,6/26/1992,1992,6,26,12,68,24,0.05,98,1.4,2.6
WB,ISCO,6/26/1992,1992,6,26,12,135,47,69.4,165,1.4,1.7
WB,REG,6/30/1992,1992,6,30,14,117,41,23.6,166,1.4,1.3
EB,REG,6/30/1992,1992,6,30,15,77,26,0.05,106,1.4,2.1
EB,ISCO,7/3/1992,1992,7,3,16,79,28,0.05,107,1.4,2.1
WB,ISCO,7/3/1992,1992,7,3,16,107,41,13.1,158,1.4,1.6
WB,ISCO,7/5/1992,1992,7,5,16,102,40,12.3,151,1.4,1.5
WB,REG,7/7/1992,1992,7,7,10,115,44,22.7,157,1.4,1.3
EB,REG,7/7/1992,1992,7,7,11,76,26,0.05,107,1.4,1.7
WB,ISCO,7/10/1992,1992,7,10,16,111,41,16.1,153,1.4,1.9
WB,ISCO,7/12/1992,1992,7,12,16,105,39,8.5,152,1.4,1.8
WB,REG,7/14/1992,1992,7,14,12,109,41,12.9,152,1.4,1.3
EB,REG,7/14/1992,1992,7,14,13,77,26,0.05,104,1.4,1.7
EB,ISCO,7/17/1992,1992,7,17,16,74,26,0.05,105,1.4,2
WB,ISCO,7/17/1992,1992,7,17,16,103,39,6.5,153,1.4,1.5
WB,ISCO,7/19/1992,1992,7,19,16,105,40,8.2,153,1.4,1.4
EB,REG,7/21/1992,1992,7,21,12,81,27,0.05,107,1.4,1.7
WB,REG,7/21/1992,1992,7,21,12,102,39,4.8,151,1.4,1.3
EB,ISCO,7/24/1992,1992,7,24,16,83,28,0.05,107,1.4,2.5
WB,ISCO,7/24/1992,1992,7,24,16,96,38,3.2,146,1.4,2.3
EB,ISCO,7/26/1992,1992,7,26,16,84,29,0.05,108,1.4,1.9
WB,ISCO,7/26/1992,1992,7,26,16,94,37,2,145,1.4,1.7
WB,REG,7/28/1992,1992,7,28,13,93,36,2.8,143,1.4,1.3
EB,REG,7/28/1992,1992,7,28,14,84,29,0.05,109,1.4,2.1
EB,ISCO,7/31/1992,1992,7,31,16,88,31,0.05,108,1.4,1.9
WB,ISCO,7/31/1992,1992,7,31,16,89,35,0.9,141,1.4,1.4
EB,ISCO,8/2/1992,1992,8,2,16,76,27,0.05,108,1.4,1.9
WB,REG,8/4/1992,1992,8,4,10,92,36,2.6,142,1.4,1.6
EB,REG,8/4/1992,1992,8,4,11,82,28,0.05,109,1.4,1.6
EB,ISCO,8/4/1992,1992,8,4,16,82,27,0.05,110,1.4,1.7
WB,ISCO,8/4/1992,1992,8,4,16,94,36,2.2,143,1.4,1.6
EB,ISCO,8/5/1992,1992,8,5,16,82,27,0.05,110,1.4,1.7
WB,ISCO,8/5/1992,1992,8,5,16,93,36,2,142,1.4,1.4
EB,ISCO,8/6/1992,1992,8,6,16,83,28,0.05,110,1.4,1.7
WB,ISCO,8/6/1992,1992,8,6,16,91,35,0.9,141,1.4,1.4
WB,ISCO,8/6/1992,1992,8,6,16,90,35,1.1,139,1.4,1.5
EB,ISCO,8/7/1992,1992,8,7,16,85,29,0.05,111,1.4,1.8
EB,ISCO,8/8/1992,1992,8,8,16,88,30,0.05,111,1.4,1.8
WB,ISCO,8/8/1992,1992,8,8,16,91,35,0.8,137,1.4,1.7
EB,ISCO,8/9/1992,1992,8,9,16,90,30,0.05,111,1.4,2.1
WB,ISCO,8/9/1992,1992,8,9,16,88,35,0.8,136,1.4,1.5
EB,ISCO,8/10/1992,1992,8,10,16,90,30,0.05,112,1.4,1.9
WB,ISCO,8/10/1992,1992,8,10,16,88,35,0.7,135,1.4,1.5
WB,REG,8/11/1992,1992,8,11,13,87,35,1,138,1.4,1.4
EB,ISCO,8/11/1992,1992,8,11,16,90,30,0.05,113,3.32,1.6
WB,ISCO,8/11/1992,1992,8,11,16,87,34,0.7,139,3.32,1.3
EB,ISCO,8/12/1992,1992,8,12,16,83,28,0.05,114,1.4,1.8
WB,ISCO,8/12/1992,1992,8,12,16,89,35,1.7,139,1.4,1.3
EB,ISCO,8/13/1992,1992,8,13,16,85,29,0.05,111,1.4,1.6
WB,ISCO,8/13/1992,1992,8,13,16,88,35,1.1,140,1.4,1.3
EB,ISCO,8/14/1992,1992,8,14,14,87,30,0.05,112,1.4,1.6
EB,ISCO,8/14/1992,1992,8,14,16,87,30,0.05,112,1.4,1.5
WB,ISCO,8/14/1992,1992,8,14,16,89,35,1.4,138,1.4,1.4
EB,ISCO,8/14/1992,1992,8,14,18,88,30,0.05,110,1.4,1.6
EB,ISCO,8/14/1992,1992,8,14,20,89,30,0.05,111,1.4,1.6
EB,ISCO,8/14/1992,1992,8,14,22,89,30,0.05,112,1.4,1.5
EB,ISCO,8/15/1992,1992,8,15,16,90,30,0.05,111,1.4,1.6
WB,ISCO,8/15/1992,1992,8,15,16,87,35,0.6,136,1.4,1.4
EB,ISCO,8/16/1992,1992,8,16,16,91,31,0.05,112,1.4,1.6
WB,ISCO,8/16/1992,1992,8,16,16,85,34,0.9,134,1.4,1.4
EB,ISCO,8/17/1992,1992,8,17,16,89,30,0.05,113,1.4,1.5
WB,ISCO,8/17/1992,1992,8,17,16,85,34,0.6,134,1.4,1.4
EB,ISCO,8/18/1992,1992,8,18,12,73,25,0.05,101,1.4,2.3
EB,ISCO,8/18/1992,1992,8,18,14,74,25,0.05,102,1.4,2.3
EB,ISCO,8/18/1992,1992,8,18,16,75,25,0.05,103,1.4,2.2
WB,ISCO,8/18/1992,1992,8,18,16,110,41,13.6,153,1.4,1.8
EB,REG,8/19/1992,1992,8,19,14,76,26,0.05,109,1.4,1.7
WB,REG,8/19/1992,1992,8,19,14,108,41,9.1,156,1.4,1.4
WB,ISCO,8/21/1992,1992,8,21,16,100,39,2.2,152,1.4,1.6
WB,ISCO,8/23/1992,1992,8,23,16,95,37,1.6,143,1.4,1.6
WB,REG,8/25/1992,1992,8,25,12,95,37,1.4,144,1.4,1.5
WB,ISCO,9/4/1992,1992,9,4,16,85,35,0.9,127,1.4,1.5
WB,ISCO,9/6/1992,1992,9,6,16,86,35,0.6,130,1.4,1.6
WB,REG,9/8/1992,1992,9,8,14,84,36,0.8,135,1.4,1.3
WB,REG,9/22/1992,1992,9,22,14,85,35,2.8,127,1.4,1.5
EB,ISCO,10/9/1992,1992,10,9,16,92,34,2,111,1.4,1.4
WB,ISCO,10/9/1992,1992,10,9,16,80,35,0.3,120,1.4,1.5
EB,ISCO,10/11/1992,1992,10,11,16,80,28,0.05,103,1.4,2.4
WB,ISCO,10/11/1992,1992,10,11,16,105,44,10.1,144,1.4,2.2
EB,REG,10/13/1992,1992,10,13,14,82,28,0.05,108,1.4,1.6
WB,REG,10/13/1992,1992,10,13,14,114,44,5.8,154,1.4,1.5
EB,ISCO,10/16/1992,1992,10,16,16,81,30,0.05,109,1.4,2
WB,ISCO,10/16/1992,1992,10,16,16,104,43,2.2,149,1.4,1.7
EB,ISCO,10/18/1992,1992,10,18,16,82,30,0.05,109,1.4,2
WB,ISCO,10/18/1992,1992,10,18,16,104,44,1.5,147,1.4,1.8
WB,REG,10/20/1992,1992,10,20,12,103,44,2.3,146,1.4,1.3
EB,REG,10/20/1992,1992,10,20,13,83,30,0.05,108,1.4,1.6
WB,ISCO,10/24/1992,1992,10,24,18,113,45,8.9,156,1.4,1.8
WB,ISCO,10/25/1992,1992,10,25,4,121,47,16.7,163,1.4,1.8
WB,ISCO,10/25/1992,1992,10,25,12,130,47,27.8,174,1.4,2.2
WB,ISCO,10/25/1992,1992,10,25,22,136,45,39.8,194,1.4,2.2
WB,ISCO,10/26/1992,1992,10,26,2,133,44,39.5,193,1.4,2.1
WB,ISCO,10/26/1992,1992,10,26,4,133,44,39.4,196,1.4,2.4
WB,ISCO,10/26/1992,1992,10,26,10,137,45,40.1,198,1.4,2.1
WB,ISCO,10/26/1992,1992,10,26,16,136,45,39.1,194,1.4,2.1
WB,REG,10/27/1992,1992,10,27,11,135,45,33.7,186,1.4,1.7
EB,REG,10/27/1992,1992,10,27,13,77,26,0.05,110,1.4,2.3
WB,ISCO,10/30/1992,1992,10,30,16,124,44,23.9,165,1.4,1.3
WB,ISCO,11/1/1992,1992,11,1,16,121,44,22.7,162,1.4,1.4
EB,REG,11/3/1992,1992,11,3,15,79,28,0.05,107,1.4,1.6
WB,REG,11/3/1992,1992,11,3,15,122,44,21.8,160,1.4,1.2
WB,ISCO,11/6/1992,1992,11,6,16,128,46,30.2,171,1.4,1.4
WB,ISCO,11/8/1992,1992,11,8,16,125,46,28.8,165,1.4,1.1
EB,REG,11/10/1992,1992,11,10,13,77,28,0.05,106,1.4,1.6
WB,REG,11/10/1992,1992,11,10,13,120,45,27.3,162,1.4,1.1
EB,ISCO,11/12/1992,1992,11,12,16,80,27,0.05,106,1.4,1.6
WB,ISCO,11/12/1992,1992,11,12,16,125,46,30.2,158,1.4,1.2
EB,ISCO,11/13/1992,1992,11,13,8,77,27,0.4,106,1.4,1.6
WB,ISCO,11/13/1992,1992,11,13,8,119,44,28.6,154,1.4,2
EB,ISCO,11/13/1992,1992,11,13,10,77,27,0.05,106,1.4,1.6
WB,ISCO,11/13/1992,1992,11,13,10,126,44,34.8,165,1.4,2
EB,ISCO,11/13/1992,1992,11,13,16,73,26,0.4,100,1.4,2.5
WB,ISCO,11/13/1992,1992,11,13,16,131,46,42,177,1.4,1.7
EB,ISCO,11/13/1992,1992,11,13,20,72,26,1.2,103,1.4,2.3
WB,ISCO,11/13/1992,1992,11,13,20,131,46,44.8,180,1.4,1.7
EB,ISCO,11/14/1992,1992,11,14,4,72,26,0.05,103,1.4,2
WB,ISCO,11/14/1992,1992,11,14,4,133,47,45.1,180,1.4,1.5
EB,ISCO,11/14/1992,1992,11,14,16,72,26,0.05,101,1.4,1.9
WB,ISCO,11/14/1992,1992,11,14,16,132,46,43.3,177,1.4,1.4
EB,REG,11/18/1992,1992,11,18,14,77,26,0.05,106,1.4,1.6
WB,REG,11/18/1992,1992,11,18,14,121,44,35.2,162,1.4,1.3
EB,REG,11/24/1992,1992,11,24,14,76,27,0.05,106,1.4,1.5
WB,REG,11/24/1992,1992,11,24,14,121,45,37.8,159,1.4,1.2
EB,REG,12/1/1992,1992,12,1,14,78,26,0.3,106,1.4,1.5
WB,REG,12/1/1992,1992,12,1,14,123,44,39,157,1.4,1.1
EB,ISCO,12/4/1992,1992,12,4,16,78,27,0.05,104,1.4,1.5
WB,ISCO,12/4/1992,1992,12,4,16,118,44,34.7,146,1.4,1.2
EB,ISCO,12/6/1992,1992,12,6,16,77,28,0.05,104,1.4,1.6
WB,ISCO,12/6/1992,1992,12,6,16,117,44,35.5,151,1.4,1.4
WB,REG,12/8/1992,1992,12,8,13,115,44,35,144,1.4,1
EB,REG,12/8/1992,1992,12,8,14,80,28,0.05,105,1.4,1.4
EB,ISCO,12/11/1992,1992,12,11,16,79,28,1.8,105,1.4,1.4
WB,ISCO,12/11/1992,1992,12,11,16,114,44,35.5,146,1.4,1.2
EB,ISCO,12/13/1992,1992,12,13,16,78,28,1.8,103,1.4,1.4
WB,ISCO,12/13/1992,1992,12,13,16,113,44,34.9,144,1.4,1.1
EB,REG,12/15/1992,1992,12,15,14,83,28,1.9,106,1.4,1.3
WB,REG,12/15/1992,1992,12,15,14,113,43,34.3,144,1.4,1
WB,ISCO,12/17/1992,1992,12,17,16,113,44,35,143,1.4,1.2
WB,ISCO,12/17/1992,1992,12,17,22,117,45,37.3,147,1.4,1.5
WB,ISCO,12/18/1992,1992,12,18,0,125,48,42,160,1.4,1.6
WB,ISCO,12/18/1992,1992,12,18,4,132,49,51.2,173,1.4,1.5
EB,ISCO,12/18/1992,1992,12,18,16,77,27,3.4,106,1.4,1.6
WB,ISCO,12/18/1992,1992,12,18,16,133,49,55,172,1.4,1.5
EB,ISCO,12/20/1992,1992,12,20,16,76,26,1.5,102,1.4,1.8
WB,ISCO,12/20/1992,1992,12,20,16,132,49,55.6,164,1.4,1.3
EB,REG,12/21/1992,1992,12,21,12,76,26,1.9,105,1.4,1.6
WB,REG,12/21/1992,1992,12,21,13,131,48,54.6,161,1.4,1.4
EB,ISCO,12/25/1992,1992,12,25,16,80,28,2.2,107,1.4,1.5
EB,ISCO,12/27/1992,1992,12,27,16,80,28,2.3,107,1.4,1.4
EB,ISCO,1/1/1993,1993,1,1,16,79,27,3.1,106,1.4,1.5
EB,ISCO,1/3/1993,1993,1,3,16,82,29,3.2,108,1.4,1.4
EB,REG,1/5/1993,1993,1,5,12,74,26,8,99,1.4,2.4
WB,REG,1/5/1993,1993,1,5,12,123,47,52.3,155,1.4,1.8
EB,ISCO,1/8/1993,1993,1,8,16,77,26,4.4,102,1.4,1.5
WB,ISCO,1/8/1993,1993,1,8,16,134,49,69.3,161,1.4,1.1
EB,ISCO,1/10/1993,1993,1,10,16,84,29,4.1,109,1.4,1.4
WB,ISCO,1/10/1993,1993,1,10,16,131,49,62.4,158,1.4,1.1
EB,REG,1/12/1993,1993,1,12,13,82,30,3.8,106,1.4,1.4
WB,REG,1/12/1993,1993,1,12,13,122,48,55,151,1.4,0.9
EB,ISCO,1/12/1993,1993,1,12,16,84,30,3.7,108,1.4,1.4
EB,ISCO,1/14/1993,1993,1,14,16,83,30,3.5,107,1.4,1.3
WB,REG,1/19/1993,1993,1,19,12,113,44,48.7,145,1.4,0.9
EB,REG,1/19/1993,1993,1,19,13,82,29,3.7,109,1.4,1.3
WB,ISCO,1/22/1993,1993,1,22,16,111,44,42.4,145,1.4,1
WB,ISCO,1/24/1993,1993,1,24,16,119,46,56.1,143,1.4,1.1
WB,ISCO,1/25/1993,1993,1,25,4,115,44,53.7,139,1.4,1.7
WB,ISCO,1/25/1993,1993,1,25,6,118,46,59.4,146,1.4,1.5
WB,ISCO,1/25/1993,1993,1,25,8,124,47,64.1,152,1.4,1.4
WB,ISCO,1/25/1993,1993,1,25,12,128,49,67.7,156,1.4,1.3
WB,ISCO,1/25/1993,1993,1,25,16,127,48,70.1,159,1.4,1.2
EB,REG,1/26/1993,1993,1,26,12,74,27,7,103,1.4,1.4
WB,REG,1/26/1993,1993,1,26,12,128,49,71.9,159,1.4,1.1
WB,ISCO,1/29/1993,1993,1,29,13,123,47,60.4,148,1.4,1.1
WB,ISCO,1/31/1993,1993,1,31,13,121,47,56.2,148,1.4,1
EB,REG,2/3/1993,1993,2,3,14,80,29,4.1,106,1.4,1.3
WB,REG,2/3/1993,1993,2,3,14,112,44,48.2,142,1.4,0.9
WB,ISCO,2/5/1993,1993,2,5,13,113,42,48.7,139,1.4,1
WB,ISCO,2/7/1993,1993,2,7,13,111,44,48.2,139,1.4,1.1
WB,REG,2/9/1993,1993,2,9,12,111,44,46.8,140,1.4,1
EB,REG,2/9/1993,1993,2,9,13,82,29,4.1,109,1.4,1.2
WB,ISCO,2/12/1993,1993,2,12,13,100,44,43.8,139,1.4,1
WB,ISCO,2/14/1993,1993,2,14,13,103,44,49.6,135,1.4,1
EB,REG,2/16/1993,1993,2,16,13,76,29,5.3,109,1.4,1.3
WB,REG,2/16/1993,1993,2,16,13,99,43,44.3,134,1.4,1
WB,ISCO,2/19/1993,1993,2,19,16,109,45,53.9,143,1.4,1.2
WB,ISCO,2/21/1993,1993,2,21,16,105,44,50.1,142,1.4,1.2
EB,REG,2/23/1993,1993,2,23,13,70,28,4.9,107,1.4,1.4
WB,REG,2/23/1993,1993,2,23,13,100,44,47.7,137,1.4,1
WB,ISCO,2/26/1993,1993,2,26,16,102,44,44.9,132,1.4,1.2
WB,ISCO,2/28/1993,1993,2,28,16,97,44,44.2,132,1.4,1.2
WB,REG,3/2/1993,1993,3,2,10,99,44,44.6,133,1.4,1
EB,REG,3/2/1993,1993,3,2,12,72,29,4.4,108,1.4,1.4
WB,ISCO,3/5/1993,1993,3,5,16,98,43,41.9,134,1.4,1
WB,ISCO,3/7/1993,1993,3,7,16,97,44,41.5,133,1.4,1.1
WB,REG,3/10/1993,1993,3,10,13,97,43,40.8,134,1.4,0.9
EB,REG,3/10/1993,1993,3,10,14,73,29,4,111,1.4,1.4
WB,ISCO,3/12/1993,1993,3,12,16,96,43,39.1,133,1.4,1
WB,ISCO,3/14/1993,1993,3,14,16,96,43,38.5,133,1.4,1
WB,REG,3/16/1993,1993,3,16,12,92,42,37.2,131,1.4,1
EB,REG,3/16/1993,1993,3,16,13,71,29,3.7,109,1.4,1.2
WB,ISCO,3/19/1993,1993,3,19,16,111,50,50.7,128,1.4,1.1
WB,ISCO,3/21/1993,1993,3,21,16,107,49,45.4,125,1.4,1.1
EB,REG,3/23/1993,1993,3,23,14,81,33,5.3,101,1.4,1.3
WB,REG,3/23/1993,1993,3,23,14,102,48,44.6,125,1.4,0.9
WB,ISCO,3/23/1993,1993,3,23,16,105,48,42,132,1.4,1.1
WB,ISCO,3/25/1993,1993,3,25,16,103,45,43.8,126,1.4,1.2
WB,ISCO,3/26/1993,1993,3,26,14,112,45,54.4,142,1.4,1.4
WB,ISCO,3/26/1993,1993,3,26,18,117,48,59.7,162,1.4,1.4
EB,ISCO,3/26/1993,1993,3,26,22,73,26,6.9,90,1.4,1.4
WB,ISCO,3/26/1993,1993,3,26,22,125,50,69,180,3.88,1.5
EB,ISCO,3/27/1993,1993,3,27,2,74,26,6.2,92,1.4,1.4
WB,ISCO,3/27/1993,1993,3,27,2,129,51,73.9,187,3.32,1.6
EB,ISCO,3/27/1993,1993,3,27,6,75,27,6.1,94,1.4,1.4
WB,ISCO,3/27/1993,1993,3,27,6,129,52,75.6,188,2.77,1.5
EB,ISCO,3/27/1993,1993,3,27,10,74,27,5.9,94,1.4,1.3
WB,ISCO,3/27/1993,1993,3,27,10,127,50,74.5,187,1.4,1.5
EB,ISCO,3/27/1993,1993,3,27,14,74,27,6,95,1.4,1.4
WB,ISCO,3/27/1993,1993,3,27,14,120,48,67,185,4.43,1.6
EB,ISCO,3/27/1993,1993,3,27,18,69,26,6.2,89,1.4,1.4
WB,ISCO,3/27/1993,1993,3,27,18,124,49,68.4,197,6.65,1.9
EB,ISCO,3/27/1993,1993,3,27,22,67,26,6.8,87,1.4,1.7
WB,ISCO,3/27/1993,1993,3,27,22,125,47,71.8,205,7.2,1.8
EB,ISCO,3/28/1993,1993,3,28,2,68,27,7.2,92,1.4,1.6
WB,ISCO,3/28/1993,1993,3,28,2,127,48,71.5,202,5.54,1.8
EB,ISCO,3/28/1993,1993,3,28,6,68,27,7.5,92,1.4,1.8
EB,ISCO,3/28/1993,1993,3,28,10,67,27,7.6,93,1.4,1.7
EB,ISCO,3/28/1993,1993,3,28,14,68,26,7.7,94,1.4,1.7
EB,REG,3/30/1993,1993,3,30,12,60,25,7.6,93,1.4,1.8
WB,REG,3/30/1993,1993,3,30,12,120,46,66.3,196,3.88,1.4
WB,ISCO,3/30/1993,1993,3,30,14,116,45,63.2,186,3.32,1.5
EB,ISCO,3/30/1993,1993,3,30,16,61,26,7.4,89,1.4,2.1
WB,ISCO,3/30/1993,1993,3,30,16,116,44,62.5,187,3.88,1.6
EB,ISCO,3/30/1993,1993,3,30,18,60,26,7.2,88,1.4,2
WB,ISCO,3/30/1993,1993,3,30,19,115,44,63.2,191,3.32,1.6
EB,ISCO,3/31/1993,1993,3,31,16,61,25,6.3,91,1.4,1.8
WB,ISCO,3/31/1993,1993,3,31,16,120,46,65.3,185,1.4,1.4
EB,ISCO,4/1/1993,1993,4,1,16,63,26,5.8,93,1.4,1.7
WB,ISCO,4/1/1993,1993,4,1,16,122,47,65.4,175,1.4,1.3
EB,ISCO,4/2/1993,1993,4,2,16,65,26,5,96,1.4,1.7
WB,ISCO,4/2/1993,1993,4,2,16,121,47,64.2,168,1.4,1.3
WB,ISCO,4/3/1993,1993,4,3,16,120,46,63.1,168,1.4,1.2
WB,ISCO,4/4/1993,1993,4,4,16,116,46,59.1,161,1.4,1.2
WB,ISCO,4/5/1993,1993,4,5,16,113,44,56.4,157,1.4,1.2
EB,REG,4/6/1993,1993,4,6,11,65,27,4.4,97,1.4,1.6
WB,REG,4/6/1993,1993,4,6,11,115,47,58.6,157,1.4,1.2
EB,ISCO,4/6/1993,1993,4,6,16,65,26,4.4,95,1.4,1.7
WB,ISCO,4/6/1993,1993,4,6,16,116,45,56.4,154,1.4,1.4
EB,ISCO,4/7/1993,1993,4,7,16,61,25,4.1,92,1.4,1.9
