Watershed,Record_Type,Date,Year,Month,Day,Hour,Ca_ueq_L,Mg_ueq_L,NO3_ueq_L,SO4_ueq_L,NH4_ueq_L,DOC_mg_L
EB,REG,7/7/1987,1987,7,7,10,97,30,0.05,107,1.4,1.4
WB,REG,7/7/1987,1987,7,7,10,84,34,0.5,102,,1.3
WB,REG,7/14/1987,1987,7,14,12,86,32,0.6,102,1.4,1.1
EB,REG,7/14/1987,1987,7,14,13,103,31,0.05,109,1.4,1.3
WB,REG,7/21/1987,1987,7,21,10,90,35,1,106,1.4,1.2
EB,REG,7/21/1987,1987,7,21,12,110,35,0.05,111,1.4,1.5
EB,REG,7/28/1987,1987,7,28,12,114,33,1,109,1.4,1.3
WB,REG,7/28/1987,1987,7,28,12,90,32,0.05,101,1.4,1.1
EB,REG,8/4/1987,1987,8,4,10,106,30,0.05,110,1.4,1.7
WB,REG,8/4/1987,1987,8,4,10,87,32,0.05,101,3.32,1.3
EB,REG,8/11/1987,1987,8,11,10,123,36,0.05,114,1.4,1.3
WB,REG,8/11/1987,1987,8,11,11,90,35,0.05,103,1.4,1.3
WB,REG,8/18/1987,1987,8,18,10,101,36,0.05,99,1.4,1.2
WB,REG,8/25/1987,1987,8,25,11,103,39,0.05,96,3.32,2.3
WB,REG,9/1/1987,1987,9,1,12,106,42,1,97,1.4,1.7
WB,REG,9/8/1987,1987,9,8,12,108,39,0.05,94,1.4,1.4
WB,REG,9/15/1987,1987,9,15,12,91,35,0.05,102,1.4,1.7
EB,REG,9/15/1987,1987,9,15,15,131,40,0.05,114,1.4,1.8
EB,REG,9/22/1987,1987,9,22,10,71,21,0.05,102,1.4,2.9
WB,REG,9/22/1987,1987,9,22,14,79,26,0.05,112,1.4,2.6
WB,REG,9/29/1987,1987,9,29,11,89,31,0.05,108,1.4,1.9
EB,REG,9/29/1987,1987,9,29,12,96,28,0.05,117,1.4,2.1
EB,REG,10/6/1987,1987,10,6,11,82,26,0.05,107,1.4,2
WB,REG,10/6/1987,1987,10,6,11,86,31,0.05,118,1.4,1.8
EB,REG,10/13/1987,1987,10,13,11,83,26,0.05,107,1.4,1.8
WB,REG,10/13/1987,1987,10,13,11,86,30,1,113,1.4,1.5
EB,REG,10/20/1987,1987,10,20,11,89,28,0.05,109,1.4,2.4
WB,REG,10/20/1987,1987,10,20,11,85,30,0.05,113,1.4,1.5
EB,REG,10/28/1987,1987,10,28,10,88,30,0.05,112,1.4,2
WB,REG,10/28/1987,1987,10,28,10,84,32,0.05,110,1.4,1.6
WB,REG,11/4/1987,1987,11,4,12,86,32,0.05,110,1.4,1.3
EB,REG,11/4/1987,1987,11,4,13,86,28,0.05,107,1.4,1.5
