Year,Month,H2O_mm,Ca_WET_kg_ha_mo,Mg_WET_kg_ha_mo,NO3N_WET_kg_ha_mo,NH4N_WET_kg_ha_mo,N_WET_kg_ha_mo,SO4S_WET_kg_ha_mo
1995,10,183,0.21,0.1188,0.28,0.1,0.38,0.46
1995,11,228,0.058,0.0768,0.59,0.17,0.76,0.69
1995,12,126,,,0.11,0.16,0.27,0.25
1996,1,146,0.208,0.444,0.17,0.05,0.22,0.53
1996,2,96,0.076,0.0972,0.25,0.05,0.31,0.34
1996,3,107,0.094,0.0864,0.3,0.13,0.43,0.41
1996,4,174,0.138,0.0852,0.28,0.15,0.44,0.46
1996,5,126,0.094,0.0384,0.29,0.29,0.57,0.53
1996,6,158,0.072,0.0192,0.26,0.15,0.41,0.38
1996,7,253,0.158,0.0384,0.43,0.26,0.69,0.92
1996,8,3,0.004,0,0.01,0,0.01,0.01
1996,9,157,0.074,0.0204,0.1,0.03,0.13,0.18
1996,10,125,0.144,0.06,0.35,0.14,0.49,0.52
1996,11,57,0.048,0.0288,0.12,0.04,0.15,0.15
1996,12,294,0.204,0.1152,0.95,0.19,1.14,0.94
1997,1,107,0.082,0.0768,0.18,0.06,0.24,0.36
1997,2,55,0.104,0.0372,0.28,0.11,0.4,0.31
1997,3,94,0.04,0.0204,0.23,0.06,0.3,0.28
1997,4,106,0.064,0.0168,0.28,0.16,0.44,0.45
1997,5,108,0.07,0.0264,0.21,0.2,0.4,0.46
1997,6,61,0.146,0.024,0.22,0.23,0.46,0.43
1997,7,110,0.15,0.0252,0.32,0.22,0.54,0.75
1997,8,36,0.028,0.0072,0.08,0.05,0.13,0.23
1997,9,139,0.188,0.0492,0.39,0.17,0.56,0.95
1997,10,19,0.08,0.0168,0.04,0.03,0.06,0.09
1997,11,108,0.092,0.0336,0.11,0.05,0.16,0.19
1997,12,110,0.064,0.0168,0.42,0.11,0.53,0.35
1998,1,90,0.028,0.0132,0.04,0.01,0.06,0.09
1998,2,38,0.034,0.0264,0.03,0,0.03,0.07
1998,3,223,0.144,0.054,0.21,0.1,0.31,0.47
1998,4,70,0.058,0.0144,0.11,0.1,0.21,0.23
1998,5,113,0.068,0.0252,0.13,0.11,0.24,0.27
1998,6,174,0.09,0.0684,0.39,0.26,0.65,0.87
1998,7,60,0.094,0.0108,0.17,0.16,0.32,0.46
1998,8,40,0.134,0.0204,0.16,0.1,0.26,0.34
1998,9,66,0.094,0.0096,0.2,0.2,0.41,0.45
1998,10,134,0.084,0.0396,0.21,0.14,0.35,0.48
1998,11,93,0.024,0.0288,0.23,0.11,0.35,0.47
1998,12,31,0.024,0.024,0.05,0.04,0.09,0.17
1999,1,209,0.144,0.1704,0.4,0.11,0.5,0.66
1999,2,100,0.054,0.0636,0.11,0.07,0.18,0.31
1999,3,386,0.406,0.3912,0.85,0.57,1.42,2.09
1999,4,7,0.052,0.0108,0.12,0.09,0.21,0.18
1999,5,70,0.078,0.0276,0.14,0.1,0.24,0.35
