solute,WaterYear,NE_BBWM_EB,SE_CWT_CWT18,GL_DOR_HP3,GL_DOR_HP3A,GL_DOR_HP5,GL_DOR_HP6,GL_DOR_HP6A,GL_ELA_EIF,GL_ELA_NEIF,GL_ELA_NWIF,NE_HBEF_WS6,NE_HBEF_WS7,NE_HBEF_WS8,NE_HBEF_WS9,WC_HJA_HJA08,WC_HJA_HJA09,GL_MEF_S2,GL_MEF_S5,SE_SEF_WS80,NE_SLP_SLPW9,GL_TLW_C32,GL_TLW_C35,GL_TLW_C38
Ca,1988,NA,NA,NA,NA,NA,109.40715,109.40715,NA,0.003126189,NA,0.165385522,NA,NA,NA,0.12753198,0.180761135,0.274926034,NA,NA,NA,0.11617214,0.104612776,1.526784745
Ca,1989,5.783227274,NA,NA,NA,NA,110.8641,110.8641,1.789321025,1.000672708,1.218485888,0.099243354,NA,NA,NA,0.186407,0.362993408,0.098467052,0.067283565,NA,NA,0.146135839,0.099691815,0.894727966
Ca,1990,4.961891587,NA,NA,NA,NA,119.14035,119.14035,1.520977421,0.49292589,0.816531464,0.089190613,0.001376662,NA,NA,0.183694793,0.13982841,0.281274748,0.027656467,0.358353968,NA,0.215897455,0.130109703,1.318376369
Ca,1991,NA,NA,NA,NA,NA,115.2214,115.2214,1.757765285,1.035596767,0.908334717,0.12114164,9.70498e-4,NA,NA,0.217440695,0.340505965,0.290626255,0.227807531,0.333968573,NA,0.231272344,0.128596602,1.397431514
Ca,1992,5.618272328,NA,NA,NA,NA,123.1081,123.1081,0.722142384,0.352042939,0.397640326,0.108178107,NA,NA,NA,0.197241367,0.314015698,0.262212154,0.218447417,8.32732e-4,13.42732859,0.103582789,0.127905329,1.143984373
Ca,1993,NA,NA,NA,NA,NA,111.2433,111.2433,0.624952818,0.273484796,0.303256318,0.090583557,NA,NA,NA,0.132035414,0.257786879,0.125038562,0.113085983,NA,13.82451592,0.137080236,0.10324865,0.968402252
Ca,1994,NA,NA,NA,NA,NA,112.65025,112.65025,0.017808913,0.006749692,0.006491111,0.09082334,NA,NA,NA,0.136353909,0.190362641,0.013439559,0.058351309,NA,11.63665575,0.143977874,0.098715203,0.827824269
Ca,1995,NA,NA,NA,0.124857543,NA,103.83815,103.83815,0.192082228,0.088897428,0.102603687,0.115148715,7.68109e-4,7.70458e-4,NA,0.076522099,0.180001253,0.147468699,0.13135543,NA,16.75872218,0.182639996,0.131746879,1.071105175
Ca,1996,4.886484583,NA,0.219540799,0.165501457,0.178720074,122.6577,122.6577,0.896197307,0.315456041,0.532386095,0.061394737,0.011515252,0.011337753,0.006852722,0.138318795,0.287902049,0.097606797,0.103553565,NA,7.257922513,0.151208457,0.118836584,1.048855266
Ca,1997,NA,NA,0.340657684,0.317530947,0.398659851,103.75755,103.75755,0.19330242,0.081131897,0.077652095,0.133766273,0.02061639,0.022384994,0.013948896,0.11885699499999999,0.134866472,0.068005096,0.193093932,NA,10.26880236,0.147783721,0.098444532,1.072886417
Ca,1998,NA,NA,0.564200202,0.463742735,0.40758798,136.41085,136.41085,0.292176118,0.112165757,0.161507371,0.137244504,0.016620515,0.017460756,0.012524688,0.140660604,0.176327049,0.094014934,0.138897167,NA,9.647231586,0.21487007,0.205657019,2.988154762
Ca,1999,NA,NA,0.56337949,0.411796658,0.493695413,116.6934,116.6934,0.260621775,0.125586011,0.120394236,0.258316716,0.013083161,0.013412534,0.018062439,0.109607067,0.155383039,0.123036902,0.129389057,NA,16.62186111,0.160205892,0.116152986,1.121542459
