WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,6.505478082,820.17,236.6642806,5.768357143,2.56,0.009522996,0.588716434,0.0028,1.711296514,3.692111111,4.148064516,7.840175627,5.18,3.948647041,795.7964274,0.026604199,0.011806958,4.39209E-05,0.002715215,4.15088E-06,0.007892658,128.5689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,6.900586582,1107.57,473.2168238,5.726030303,2.497333333,0.006593037,0.627194359,0.002,1.747644545,4.102777778,4.267741935,8.370519713,6.036666667,3.915025921,1053.666072,0.015566111,0.006788956,1.79231E-05,0.001705017,2.14183E-06,0.004750941,121.7864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6.500537551,1180.17,432.6242091,4.79775,2.686486486,0.007714453,0.369782022,0.002508,1.80719298,4.431,4.753225806,9.184225806,5.733333333,3.81056686,1022.392856,0.015563312,0.008956705,2.57199E-05,0.001232848,5.64975E-06,0.006025154,125.4394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,5.340661644,1134.49,540.4294132,4.886810811,2.763027027,0.006677744,0.277930281,0.002410811,1.858672237,4.391333333,4.091612903,8.482946237,5.76,2.620877916,936.7557081,0.013042505,0.007374297,1.78224E-05,0.000741774,6.43426E-06,0.004960647,125.9709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,5.896229292,1315.928,676.9562993,4.231206897,2.90862069,0.007411386,0.205145087,0.00265,1.741197243,4.866555556,5.333548387,10.20010394,5.88,3.608452402,1315.827513,0.007066012,0.004857325,1.23768E-05,0.000342587,3.05202E-06,0.002907757,111.38135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,4.736908219,1088.9,509.17057,4.3659,2.7267,0.007863174,0.251808746,0.00243,1.698728367,4.162666667,4.209032258,8.371698925,5.22,2.168080386,1020.953577,0.010027772,0.006262793,1.80604E-05,0.000578364,5.58132E-06,0.003901707,125.68015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,5.41404235,1301.37,622.4252531,4.261351429,2.947114286,0.010764258,0.177290225,0.00316,1.65640582,4.470666667,4.678709677,9.149376344,6.09,2.685133942,1191.780354,0.009341162,0.006460268,2.3596E-05,0.000388632,6.92693E-06,0.00363095,115.65205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,5.396037947,1043.26,568.9299245,1.755872222,2.864555556,0.007672073,0.156345068,0.000991667,0.707020346,3.291555556,3.057419355,6.34897491,4.433333333,2.69563987,1002.43286,0.004331211,0.007066001,1.89247E-05,0.000385656,2.44614E-06,0.001744008,127.12005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,7.392630137,960.29,548.8078949,N/A,3.244,0.006237738,0.089759577,N/A,N/A,3.901333333,3.73483871,7.636172043,4.603333333,4.579181531,1031.902144,N/A,0.002073842,3.9877E-06,5.7382E-05,N/A,N/A,112.9891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,6.250410959,1074.72,487.0198847,4.41225,3.43125,0.002717687,0.051223953,0.002475,1.869897158,3.223888889,3.29,6.513888889,4.02,3.432410723,962.3114349,0.001412688,0.001098597,8.70133E-07,1.64006E-05,7.92431E-07,0.000598692,125.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,5.179563242,1304.88,555.1976635,4.029725,4.0715,0.024847421,0.100075904,0.00375,1.607121106,4.616111111,3.901935484,8.518046595,5.346666667,3.126190506,1148.441785,0.001131776,0.001143509,6.97857E-06,2.8107E-05,1.05321E-06,0.000451371,124.2454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,3.902054795,1037.56,377.374955,N/A,N/A,N/A,N/A,N/A,N/A,3.351444444,3.016774194,6.368218638,3.466666667,2.218675619,1007.876431,N/A,N/A,N/A,N/A,N/A,N/A,122.11215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,5.658630137,900.09,230.4532849,5.013644444,2.860666667,0.004917719,0.051029424,0.001366667,1.709328858,2.031555556,1.580645161,3.612200717,2.083333333,3.895565558,861.34286,0.007632835,0.004355115,7.4868E-06,7.76878E-05,2.08063E-06,0.002602304,132.16105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,4.653972603,1228.01,603.4442751,N/A,N/A,N/A,N/A,N/A,N/A,3.243333333,2.477096774,5.720430108,3.18,3.025788717,1142.081778,N/A,N/A,N/A,N/A,N/A,N/A,105.3348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,6.741232877,1409.576571,413.4406619,N/A,N/A,N/A,N/A,N/A,N/A,3.701333333,2.48516129,6.186494624,3.068571429,5.054226111,1053.848589,N/A,N/A,N/A,N/A,N/A,N/A,139.4818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,4.621666667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.311577446,1223.030359,N/A,N/A,N/A,N/A,N/A,N/A,117.9587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,7.509855769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.923958358,1294.775712,N/A,N/A,N/A,N/A,N/A,N/A,111.89235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.370520868,1255.91464,N/A,N/A,N/A,N/A,N/A,N/A,119.45845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
