Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrTOCTCICmgL,StrNH4NmgL,StrNO3NO2NmgL,StrTPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWATOCTCICmgL,FWANH4NmgL,FWANO3NO2NmgL,FWATPmgL,FWASO4SmgL,iNDVI
1961,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1962,2.947945205,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1963,3.842465753,684.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1964,3.06147541,809.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1965,0.845205479,773.9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1966,2.428767123,958.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1967,1.519178082,608.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1968,3.080601093,856.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1969,2.624657534,788.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1970,2.819178082,653.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,2.194520548,850.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,1.825136612,830,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1973,3.790410959,747.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1974,1.98630137,747.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1975,3.653424658,840.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1976,3.799180328,462.1,67.719,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1977,3.44109589,827.3,84.1664,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1978,2.956164384,858.3,211.8379,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1979,1.590410959,870.1,321.1047,N/A,N/A,N/A,N/A,N/A,N/A,0.246154194,0.242432881,0.488587075,0.426068402,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1980,3.700819672,660.1,107.6764,N/A,N/A,N/A,N/A,N/A,N/A,0.203532084,0.221904702,0.425436786,0.376849605,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1981,4.104109589,817.7,180.5124,N/A,N/A,N/A,N/A,N/A,N/A,0.210461424,0.18961502,0.400076444,0.349273486,4.357916668,697.7400117,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1982,2.74109589,775.4,318.0989,N/A,N/A,N/A,N/A,N/A,N/A,0.192823412,0.179590601,0.372414014,0.341394034,2.949999988,725.4900045,N/A,N/A,N/A,N/A,N/A,N/A,107.27025
1983,4.921917808,693.1,84.4105,N/A,N/A,N/A,N/A,N/A,N/A,0.204296577,0.180542798,0.384839375,0.30326663,4.911249955,666.0300007,0.145242053,N/A,0.007110257,0.010033169,0.025966412,N/A,106.40545
1984,3.281420765,827.8,164.1233,4.875,N/A,0.095,0.021176471,0.146428571,N/A,0.220296481,0.183815671,0.404112151,0.338182513,3.612083296,665.8900003,0.292589782,N/A,0.003408749,0.001031692,0.006176377,N/A,115.37605
1985,3.246575342,920.3,294.4629,3.2,N/A,0.127826087,0.017608696,0.205789474,0.201552632,0.191456804,0.192757615,0.38421442,0.333999397,3.315416783,745.799984,0.201159268,N/A,0.011482113,0.001226081,0.022734031,0.041700581,108.1266
1986,3.071232877,783.8,194.0632,3.377777778,N/A,0.1225,0.02,0.10825,0.127942105,0.208723625,0.190323493,0.399047118,0.319228059,3.234166582,730.9799976,0.225869659,N/A,0.020067791,0.001334089,0.017742288,0.04814479,110.92465
1987,5.47260274,812.7,201.3472,3.068421053,N/A,0.085789474,0.045,0.170526316,0.198047368,0.208901084,0.183763274,0.392664358,0.292902713,5.645416598,605.9500074,0.300623503,N/A,0.006722637,N/A,0.01672539,N/A,106.0112
1988,4.556010929,846.3,240.3657,2.51875,N/A,0.096875,0.0965625,0.15125,0.41000625,0.152676758,0.190962168,0.343638926,0.287179346,4.480000261,618.8500068,0.353064145,N/A,0.007491778,N/A,0.012414713,N/A,118.3878
1989,3.187671233,849.2,210.3628,2.254545455,N/A,0.067045455,0.043913043,0.049318182,0.118063636,0.289964787,0.215850367,0.505815154,0.323651885,3.29583325,674.1200004,0.121625074,N/A,0.005701349,0.001698965,0.002105631,0.019135463,118.2267
1990,3.489041096,589.6,100.7542,2.463636364,N/A,0.024545455,0.017727273,0.022272727,0.211909091,0.160668403,0.133244712,0.293913115,0.174524146,3.713333488,564.420001,0.243911754,N/A,0.004180109,0.002550239,0.005040355,0.048548762,119.80535
1991,4.598630137,659,82.8335,3.427272727,N/A,0.061363636,0.022727273,0.027727273,0.596372727,0.16945984,0.158178133,0.327637973,0.23680529,4.560833255,651.8099928,0.305162915,N/A,0.007310011,0.002543956,0.001840146,0.103946901,116.8886
1992,3.31420765,855.2,204.8222,3.925,52.59444444,0.0905,0.0225,0.080225,0.2331,0.202134293,0.17341993,0.375554223,0.255826581,3.681249956,595.8300028,0.315165072,4.488075925,0.011206411,1.36E-05,0.008844605,0.000117323,109.00685
1993,2.579452055,780.2,162.7552,2.952941176,43.14705882,0.058235294,N/A,0.059882353,N/A,0.172916412,0.164896129,0.337812541,0.222534471,3.078333298,702.4199921,0.132437362,2.106441179,0.002347588,N/A,0.002795166,N/A,107.5761
1994,3.016438356,880.1,185.9152,2.818181818,42.27272727,0.097272727,N/A,0.042727273,N/A,0.272445156,0.218853697,0.491298853,0.227263999,3.315833271,711.7200031,0.066328824,1.078423913,0.003033795,N/A,0.001297083,N/A,118.60135
1995,4.07260274,853.9,160.7881,2.911111111,40.91111111,0.024444444,0.012666667,0.072361111,0.091464,0.19970934,0.173041756,0.372751096,0.201175227,4.619583266,728.0199986,0.184291909,2.657549102,0.001276891,0.001013404,0.003207267,0.009773018,110.46865
