WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWASO4SmgL,iNDVI
2009,5.022510356,1073.04,1387.862484,6.359652735,0.002089967,N/A,0.167370308,10.89873945,25.68,0.78,26.46,30.564,5.550000211,1434.450001,6.124187144,0.002144431,N/A,0.186659962,10.66480201,156.99265
2010,6.546073425,1257.054545,913.2313078,7.191194519,0.00171042,N/A,0.289330686,11.02355548,25.63636364,1.047272727,26.68363637,30.56727273,7.512916664,1288.159981,6.544302415,0.001394165,N/A,0.446963997,9.807148542,185.49705
2011,5.188673973,1502.8,1232.61761,6.355820597,0.00144226,N/A,0.288645063,10.11524522,25.83,1.51,27.34,31.24,6.248750051,1515.339996,6.197417816,0.001474557,N/A,0.424411499,10.20698527,129.72425
2012,6.996886617,1268.2,N/A,N/A,N/A,N/A,N/A,N/A,26.06,1.34,27.4,30.56,7.465416869,1258.899994,N/A,N/A,N/A,N/A,N/A,137.6602
2013,5.737730771,1757.333333,N/A,N/A,N/A,N/A,N/A,N/A,26.73333333,1.453333333,28.18666666,29.30666667,6.573333335,1382.789997,N/A,N/A,N/A,N/A,N/A,149.14295
2014,5.059116653,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.414583291,1255.889996,N/A,N/A,N/A,N/A,N/A,112.04015
2015,4.845115836,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.562499955,1397.19001,N/A,N/A,N/A,N/A,N/A,137.6602
2016,6.449448158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.248333228,1188.66,N/A,N/A,N/A,N/A,N/A,N/A
2017,5.955040825,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.754583458,1182.249981,N/A,N/A,N/A,N/A,N/A,N/A
2018,6.034014265,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.739166513,1334.420006,N/A,N/A,N/A,N/A,N/A,N/A
2019,4.878583025,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.144999981,467.0799942,N/A,N/A,N/A,N/A,N/A,N/A
