WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,6.505478082,820.17,404.9832158,5.206880952,2.066142857,0.008162304,0.31276006,0.002244444,1.700268664,3.692111111,4.148064516,7.840175627,5.18,3.797083239,803.6499977,0.08273759,0.03283111,0.000129699,0.004969772,7.64236E-06,0.027017351,128.5689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,6.900586582,1107.57,578.0680674,5.428513514,2.014378378,0.006958957,0.385174088,0.00208,1.72336617,4.102777778,4.267741935,8.370519713,6.036666667,3.760416585,1063.25,0.053237373,0.019754987,6.82464E-05,0.003777398,8.26968E-06,0.016901033,121.7864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,6.500537551,1180.17,556.7046223,5.066916667,2.010054054,0.005445866,0.325986985,0.0022,1.64518893,4.431,4.753225806,9.184225806,5.733333333,3.669583345,1030.900009,0.050203545,0.020469045,5.54571E-05,0.003319633,1.45319E-05,0.016753503,125.4394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,5.340661644,1134.49,536.9678156,5.471054054,1.915918919,0.006828844,0.279004856,0.002586486,1.69559755,4.391333333,4.091612903,8.482946237,5.76,2.485833287,946.7200012,0.057761362,0.020227562,7.20964E-05,0.00294563,2.73072E-05,0.017901491,125.9709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,5.896229292,1315.928,699.0254695,5.314411765,2.134176471,0.006389989,0.225566118,0.002671429,1.698349089,4.866555556,5.333548387,10.20010394,5.88,3.475416705,1327.790024,0.03960537,0.015904836,4.76211E-05,0.001681019,1.22965E-05,0.012656856,111.38135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,4.736908219,1088.9,546.1949822,5.307545455,2.022727273,0.015715523,0.230340928,0.002542424,1.672863392,4.162666667,4.209032258,8.371698925,5.22,2.037500044,1029.150005,0.049132958,0.018724771,0.000145482,0.00213231,2.35357E-05,0.015486015,125.68015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,5.41404235,1301.37,800.8754186,5.22884,2.429233333,0.011393578,0.18296044,0.002986667,1.643283177,4.470666667,4.678709677,9.149376344,6.09,2.555000077,1203.249992,0.030010594,0.01394243,6.53927E-05,0.00105009,1.71418E-05,0.009431519,115.65205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,5.396037947,1043.26,435.2850012,2.885216279,2.128627907,0.01127524,0.166607546,0.001939535,0.926086584,3.291555556,3.057419355,6.34897491,4.433333333,2.564166597,1011.390003,0.04367029,0.032218659,0.000170661,0.002521752,2.93566E-05,0.014017136,127.12005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,7.392630137,960.29,625.8233417,N/A,2.119473684,0.005243296,0.130311502,N/A,N/A,3.901333333,3.73483871,7.636172043,4.603333333,4.444583307,1042.969997,N/A,0.009859226,2.43904E-05,0.000606174,N/A,N/A,112.9891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,6.250410959,1074.72,543.0227763,6.595377778,2.548777778,0.006867551,0.091391113,0.002955556,1.833848942,3.223888889,3.29,6.513888889,4.02,3.296250014,971.7400055,0.016748545,0.00647246,1.74397E-05,0.000232082,7.50545E-06,0.004656944,125.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,5.179563242,1304.88,718.2005835,6.28302,2.2798,0.011802525,0.123005259,0.002,1.81007346,4.616111111,3.901935484,8.518046595,5.346666667,2.989583333,1158.390003,0.013404038,0.004863668,2.51792E-05,0.000262416,4.26675E-06,0.003861565,124.2454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,3.902054795,1037.56,444.4971912,7.614366667,2.218833333,0.005293018,0.156439195,0.00165,1.897214403,3.351444444,3.016774194,6.368218638,3.466666667,2.085416645,1018.73,0.015748129,0.004589019,1.09471E-05,0.00032355,3.41255E-06,0.003923843,122.11215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,5.658630137,900.09,324.2128758,5.906555556,2.160666667,0.002674549,0.089357968,0.001244444,1.614340703,2.031555556,1.580645161,3.612200717,2.083333333,3.76833349,870.5999994,0.025122306,0.009189946,1.13756E-05,0.000380066,5.29299E-06,0.006866262,132.16105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,4.653972603,1228.01,682.0268448,N/A,N/A,N/A,N/A,N/A,N/A,3.243333333,2.477096774,5.720430108,3.18,2.885833386,1153.979996,N/A,N/A,N/A,N/A,N/A,N/A,105.3348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,6.741232877,1409.576571,435.2788597,N/A,N/A,N/A,N/A,N/A,N/A,3.701333333,2.48516129,6.186494624,3.068571429,4.922083269,1065.120014,N/A,N/A,N/A,N/A,N/A,N/A,139.4818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,4.621666667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.175416678,1235.700001,N/A,N/A,N/A,N/A,N/A,N/A,117.9587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,7.509855769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.78958337,1306.990002,N/A,N/A,N/A,N/A,N/A,N/A,111.89235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.240833481,1267.770008,N/A,N/A,N/A,N/A,N/A,N/A,119.45845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
