Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATPmgL,FWASO4SmgL,iNDVI
2004,18.05193181,N/A,75.617604,4.14840625,24.54825,0.2241875,0.2,0.1,N/A,0.134716809,0.194928124,0.329644933,0.448477074,18.03708044,1135.905459,28.94060091,172.6593725,0.964746966,1.295491925,0.647745962,N/A,163.9316
2005,18.10033986,N/A,215.324622,3.304725,25.43089,0.083641667,0.127791667,0.0804,N/A,0.113749779,0.158713815,0.272463593,0.394135756,18.25579272,929.1486422,15.60965521,135.305612,0.457098249,0.714592045,0.437056536,N/A,176.5528
2006,18.02557469,N/A,137.502117,3.149472656,18.63495513,0.049307692,0.028,0.016923077,N/A,0.142571599,0.189577147,0.332148746,0.479039728,18.50057632,1165.162661,11.03562408,68.72238496,0.150039745,0.101876885,0.050888647,N/A,175.6172
2007,18.08380076,N/A,103.850154,3.3379,15.75970238,0.03175,0.024571429,0.010691057,N/A,0.117267024,0.169916838,0.287183862,0.412206115,18.58475374,954.6212273,17.54798464,97.75621935,0.152126848,0.149262533,0.071723733,N/A,193.2366
2008,18.55151316,N/A,160.248456,3.463760231,18.7088,0.085272972,0.008559946,0.007165848,N/A,0.157795187,0.172288921,0.330084109,0.502285016,18.94059803,1168.327474,12.79947823,91.99736742,0.329674668,0.037673732,0.042451209,N/A,166.6034
2009,17.89865214,N/A,314.097804,3.038040816,16.83469643,0.122169233,0.020416471,0.011189641,N/A,0.136021563,0.138999428,0.275020991,0.301709806,18.17757848,1100.033377,8.209534641,67.25772083,0.424546635,0.127296042,0.05492529,N/A,179.0421
2010,17.52052487,N/A,399.8781,3.155502315,11.77644081,0.067465146,0.008920007,0.009959259,N/A,0.127972769,0.180052024,0.308024792,0.355364797,18.29809264,1429.536175,10.48716698,40.85411072,0.158356164,0.024902375,0.015502765,N/A,189.0797
2011,17.63635671,N/A,40.83291,4.527528736,19.7154023,0.107632184,0.010988506,0.006126437,N/A,0.114816269,0.120741623,0.235557892,0.226252363,18.44406659,867.0332568,38.01417995,167.8241096,0.6813521,0.077497106,0.044811492,N/A,170.6133
2012,16.9137105,N/A,27.675324,4.042294372,22.019,0.150614719,0.021805195,0.011738095,N/A,0.098994099,0.115461203,0.214455302,0.189273997,19.213539,1022.830398,89.39366335,175.7280172,4.310682391,0.512168259,0.284902142,N/A,195.1422
2013,15.53377563,N/A,217.967706,3.234701479,22.78320918,0.115811346,0.015010173,0.007033856,N/A,0.173338445,0.147211996,0.320550441,0.248936684,17.98940739,1279.208316,13.28426194,113.6078686,0.40682795,0.054090378,0.02853603,N/A,126.2162
2014,17.33910232,N/A,170.724942,3.254188862,14.88674092,0.09933633,0.01603026,0.007238539,N/A,0.117227463,0.121465466,0.238692929,0.175639221,18.17110941,1138.675262,14.93941609,91.64543116,0.500471761,0.128860348,0.065636609,N/A,178.2785
2015,N/A,N/A,276.946182,2.268383838,16.58427692,0.11687904,0.00893172,0.012023232,N/A,0.12200118,0.102816504,0.224817684,0.139307735,18.32630959,1095.898378,8.150858553,55.97169928,0.228704848,0.029107201,0.018521714,N/A,175.1848
2016,N/A,N/A,696.165516,2.290364873,15.98266981,0.083796194,0.009574006,0.006136125,N/A,0.189873628,0.169640931,0.359514558,0.235321942,19.75913958,1718.046501,4.253661208,35.72635669,0.148121058,0.020401199,0.008783769,N/A,N/A
2017,N/A,N/A,301.472064,2.32605163,14.9054058,0.07528907,0.006126329,0.004809994,N/A,0.115884289,0.120207388,0.236091676,0.142892783,19.67575204,1434.042202,10.31020923,78.70635914,0.352704226,0.035124884,0.026928024,N/A,N/A
