Year,Month,WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrPO4PmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm
1964,6,1965,15.76666667,58.6,3.784,1.21,N/A,0.048920174,0.021234286,N/A,1.989495898,0.1758,0.45122,0.62702,2.4612,N/A,N/A
1964,7,1965,19.61290323,125.6,6.684,1.09,N/A,0.032613449,0.013779696,N/A,2.09297639,0.130624,1.467008,1.597632,8.42776,N/A,N/A
1964,8,1965,15.03225806,154.5,20.479,0.98,N/A,0.128124265,0.01829763,N/A,2.129695274,0.20394,0.20394,0.40788,3.22905,N/A,N/A
1964,9,1965,11.56666667,38.5,2.175,1.09,N/A,0.03338996,0.011972523,N/A,2.193118801,0.149765,0.52437,0.674135,2.12905,N/A,N/A
1964,10,1965,6.290322581,54,7.448,0.82,N/A,0.087745709,0.01490918,N/A,2.226499604,0.054,0.01782,0.07182,0.7992,N/A,N/A
1964,11,1965,0.866666667,120.4,60.695,0.86,N/A,0.048920174,0.070705656,N/A,2.116342952,0.063812,0.459928,0.52374,2.74512,N/A,N/A
1964,12,1965,-5.64516129,117.2,79.98,0.97,N/A,0.038049024,0.208276723,N/A,2.062933666,0.089072,1.146216,1.235288,2.29712,N/A,N/A
1965,1,1965,-10.77419355,66.3,26.805,0.87,N/A,0.034166471,0.216409003,N/A,2.056257506,0.571506,0.373269,0.944775,1.28622,N/A,N/A
1965,2,1965,-8.892857143,103.2,30.561,0.93,N/A,0.042708088,0.19901496,N/A,1.949438934,0.095976,0.346752,0.442728,1.77504,N/A,N/A
1965,3,1965,-3.032258065,28.7,37.895,1.03,N/A,0.028730896,0.20511417,N/A,1.992833979,0.035301,0.32431,0.359611,0.83804,N/A,N/A
1965,4,1965,3.333333333,83.1,179.082,1,N/A,0.045037621,0.345170101,N/A,1.886015407,0.459543,1.236528,1.696071,3.14949,N/A,N/A
1965,5,1965,12.22580645,25.9,39.864,1.04,N/A,0.024848342,0.100072222,N/A,2.0061863,0.017871,0.325304,0.343175,1.25615,N/A,N/A
