Year,Month ,Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,1 Ca (mg/L),1 TOC TC-IC(mg/L),1 NH4-N(mg/L),1 NO3+NO2-N(mg/L),1 TP(mg/L),1 SO4-S (mg/L),2 NH4-N (kg/ha),2 NO3-N (kg/ha),2 Total N (kg/ha),2 SO4-S (kg/ha),T2 (DegC),P2 (mm),FWACamgL,FWATOCTCICmgL,FWANH4NmgL,FWANO3NO2NmgL,FWATDPmgL,FWASO4SmgL,N/A
1986,1,1986,-12.19354839,27.3,0,N/A,N/A,N/A,N/A,N/A,N/A,0.004630822,0.008723659,0.013354481,0.006953321,-12.03499985,18.46999931,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1986,2,1986,-11.71428571,24.4,0,N/A,N/A,N/A,N/A,N/A,N/A,0.006239187,0.008914933,0.015154121,0.00819998,-12.10999966,19.02000046,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1986,3,1986,-1.14516129,12.1,0.38,N/A,N/A,N/A,N/A,N/A,N/A,0.003371888,0.003934768,0.007306656,0.004226774,-2.200000048,11.71000004,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1986,4,1986,6.15,106.7,60.39,N/A,N/A,N/A,N/A,N/A,N/A,0.067854332,0.029765924,0.097620256,0.061112688,6.525000095,80.43000031,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1986,5,1986,12.88709677,39.4,18.48,N/A,N/A,N/A,N/A,N/A,N/A,0.018360614,0.014995629,0.033356242,0.02593304,12.60499954,51.38000107,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1986,6,1986,15.63333333,127.7,2.79,N/A,N/A,N/A,N/A,N/A,N/A,0.039642073,0.035173947,0.07481602,0.043211038,16.54000092,136.6799927,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1986,7,1986,19.30645161,158,17.17,N/A,N/A,N/A,N/A,N/A,N/A,0.014511515,0.024876692,0.039388207,0.033636476,19.63999939,114.2900009,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1986,8,1986,15.64516129,77.9,2.4,N/A,N/A,N/A,N/A,N/A,N/A,0.0046351,0.011788571,0.016423671,0.021885465,15.96500015,88.80000305,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1986,9,1986,11.36666667,132.8,9.03,N/A,N/A,N/A,N/A,N/A,N/A,0.01726513,0.015469937,0.032735066,0.051041605,11.61499977,120.4199982,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1986,10,1986,5.935483871,27.4,2.44,N/A,N/A,N/A,N/A,N/A,N/A,0.008507881,0.007047535,0.015555416,0.012064493,6.255000114,18.12999916,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1986,11,1987,-4.883333333,67.7,0.36,N/A,N/A,N/A,N/A,N/A,N/A,0.011407575,0.013371803,0.024779379,0.021760544,-5.554999828,39.15000153,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1986,12,1987,-8.661290323,19.5,0,N/A,N/A,N/A,N/A,N/A,N/A,0.000955694,0.00471039,0.005666084,0.004102256,-8.635000229,11.76000023,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1987,1,1987,-11.11290323,14,0.08,N/A,N/A,N/A,N/A,N/A,N/A,0.004378985,0.007602877,0.011981862,0.005517688,-10.69499969,16.15999985,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1987,2,1987,-3.107142857,13.1,0,N/A,N/A,N/A,N/A,N/A,N/A,0.003373969,0.003836429,0.007210398,0.004883838,-4.085000038,10.77999973,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1987,3,1987,0,36.9,11.47,N/A,N/A,N/A,N/A,N/A,N/A,0.013482762,0.018599324,0.032082086,0.031281512,-0.354999989,22.17000008,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1987,4,1987,8.933333333,6.2,6.79,N/A,N/A,N/A,N/A,N/A,N/A,0.009530461,0.004613124,0.014143586,0.010466813,9.039999962,8.850000381,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1987,5,1987,13.30645161,125.3,13.72,N/A,N/A,N/A,N/A,N/A,N/A,0.042344906,0.029937535,0.072282441,0.044889191,13.10499954,113.8399963,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1987,6,1987,18.6,27.9,2.94,N/A,N/A,N/A,N/A,N/A,N/A,0.002539212,0.004258191,0.006797404,0.006176332,18.31999969,28.78000069,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1987,7,1987,20.74193548,275.7,52.71,N/A,N/A,N/A,N/A,N/A,N/A,0.07757278,0.060744592,0.138317371,0.100541545,20.39500046,179.1900024,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1987,8,1987,17.03225806,60.5,1.66,N/A,N/A,N/A,N/A,N/A,N/A,0.021309816,0.016667443,0.037977259,0.021276962,17.33499908,79.06999969,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1987,9,1987,13.48333333,87.3,3.98,N/A,N/A,N/A,N/A,N/A,N/A,0.016513581,0.014621971,0.031135551,0.03242835,13.39500046,71.97000122,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1987,10,1987,3.483870968,32.5,0.5,N/A,N/A,N/A,N/A,N/A,N/A,0.005491342,0.004799595,0.010290937,0.009577682,4.244999886,22.55999947,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1987,11,1988,-0.266666667,20.4,1.46,N/A,N/A,N/A,N/A,N/A,N/A,0.010231438,0.012097338,0.022328776,0.018705023,-0.180000007,17.13999939,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1987,12,1988,-7.096774194,19.8,0.98,N/A,N/A,N/A,N/A,N/A,N/A,0.001491661,0.00444583,0.005937491,0.004714402,-7.085000038,15.63000011,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1988,1,1988,-16.11290323,44.6,0,N/A,N/A,N/A,N/A,N/A,N/A,0.003547117,0.012137563,0.015684679,0.008185601,-16.58499908,20.39999962,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1988,2,1988,-14.48275862,7.9,0,N/A,N/A,N/A,N/A,N/A,N/A,0.001155716,0.002270978,0.003426693,0.002120555,-15.10000038,3.369999886,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1988,3,1988,-3.14516129,71.5,0,N/A,N/A,N/A,N/A,N/A,N/A,0.030389561,0.02551969,0.055909251,0.043620904,-4.210000038,40.13000107,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1988,4,1988,4.783333333,12.2,25.42,N/A,N/A,N/A,N/A,N/A,N/A,0.000936437,0.005585049,0.006521486,0.009285271,4.639999866,6.53000021,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1988,5,1988,15.91935484,40.1,3.37,N/A,N/A,N/A,N/A,N/A,N/A,0.013713913,0.009521217,0.02323513,0.012843516,14.98499966,39.41999817,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1988,6,1988,20,59.8,0,N/A,N/A,N/A,N/A,N/A,N/A,0.000456571,0.009338098,0.00979467,0.028083991,19.59000015,75.90000153,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1988,7,1988,21.56451613,21,0,N/A,N/A,N/A,N/A,N/A,N/A,0.016587517,0.023378671,0.039966188,0.02539498,21.08499908,64.98999786,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1988,8,1988,18.27419355,366.7,66.25,N/A,N/A,N/A,N/A,N/A,N/A,0.03493299,0.052340448,0.087273437,0.077972789,18.81999969,205.3300018,N/A,N/A,N/A,N/A,N/A,N/A,N/A
