WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH3NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH3Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH3NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI,N/A,N/A
1972,N/A,2792.2,1904.2126,2.896470588,N/A,0.009117647,0.000470588,0.038235294,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.877572208,N/A,0.014984082,3.37E-04,0.032266967,N/A,N/A,N/A,N/A
1973,N/A,1605.9,682.5234,2.455,N/A,0.00125,0.0018125,0.063375,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.183454908,N/A,0.00235785,9.66E-04,0.057683052,N/A,N/A,N/A,N/A
1974,N/A,2889.5,2138.045,3.2025,N/A,N/A,0.0005625,0.04775,N/A,N/A,21.0078,N/A,N/A,N/A,N/A,4.506717854,N/A,N/A,8.69E-04,0.065733107,N/A,N/A,N/A,N/A
1975,N/A,1951.2,1351.5594,3.068333333,N/A,N/A,0.0005,0.041,N/A,N/A,7.353,N/A,N/A,N/A,N/A,1.677515293,N/A,N/A,1.12E-05,0.026462173,N/A,N/A,N/A,N/A
1976,N/A,2367.4,1479.0166,3.747647059,N/A,N/A,0.004588235,0.048058824,N/A,N/A,13.1562,N/A,N/A,N/A,N/A,3.848850848,N/A,N/A,0.006339311,0.049899301,N/A,N/A,N/A,N/A
1977,N/A,1267,420.3954,4.066666667,N/A,N/A,0.002555556,0.048277778,N/A,N/A,8.777333333,N/A,N/A,N/A,N/A,3.312812951,N/A,N/A,0.005882091,0.037326431,N/A,N/A,N/A,N/A
1978,N/A,2439.8,1353.3882,3.156666667,N/A,N/A,0.006277778,0.042,N/A,N/A,19.5156,N/A,N/A,N/A,N/A,4.91362708,N/A,N/A,0.006559724,0.070465577,N/A,N/A,N/A,N/A
1979,N/A,1771.7,1042.67,4.035882353,N/A,0.0133125,0.001352941,0.038764706,0.214117647,14.40514286,33.62742857,48.03257143,138.3428571,N/A,N/A,5.098424516,N/A,0.011850792,0.00262966,0.049300553,0.20093874,N/A,N/A,N/A
1980,N/A,1966.9,960.7804,3.772352941,N/A,0.006764706,0.001647059,0.042941176,0.17,16.62675,28.128,44.75475,N/A,N/A,N/A,4.124317528,N/A,0.011141321,0.003543351,0.05409922,2.22E-03,N/A,N/A,N/A
1981,N/A,2238.7,1095.6798,3.474117647,N/A,0.008,0.000588235,0.049117647,N/A,19.23436364,16.28454545,35.51890909,N/A,9.905416568,1760.38001,3.379503538,N/A,0.013562936,1.70E-04,0.04594329,N/A,N/A,N/A,N/A
1982,N/A,2745.7,1605.8896,3.491666667,N/A,0.004928571,0.002388889,0.051,N/A,27.98483333,20.02733333,48.01216667,N/A,8.769166624,2236.870026,2.371774482,N/A,0.004672564,0.002461173,0.038506907,N/A,N/A,N/A,N/A
