Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1996,1.138049451,920.7,308.9674173,4.619310345,25.16689655,0.027740175,0.016094125,0.021827586,0.616739124,N/A,N/A,N/A,N/A,0.226137494,729.9977253,11.31062808,65.57067828,0.091486316,0.056133221,0.057619706,1.999800895,92.2929
1997,1.799315068,724.9,258.3681104,5.598947368,25.05473684,0.025052687,0.024884301,0.028894737,0.276709294,N/A,N/A,N/A,N/A,1.139393922,644.4500027,3.713441236,23.09138333,0.017900374,0.016969255,0.016556823,0.485948266,110.33
1998,5.334246575,656.5,164.6813509,4.905909091,23.2992,0.023577689,0.034243881,0.027363636,0.907290244,N/A,N/A,N/A,N/A,4.691290695,575.5272754,4.847467415,30.11399601,0.023233293,0.022111811,0.020986998,1.123033043,130.9648
1999,3.977209945,861.9,230.6280179,4.737727273,27.22909091,0.022412922,0.010458605,0.023954545,0.563073465,N/A,N/A,N/A,N/A,3.46649867,815.230452,4.323952169,29.07087781,0.022920284,0.014387433,0.019982695,0.839969234,120.1887
2000,3.80942623,842.7,380.2543393,4.033461538,25.92461538,0.031179891,0.012850045,0.016528846,0.37335145,N/A,N/A,N/A,N/A,3.448440464,688.4363682,6.600278344,53.32288139,0.050066297,0.015827489,0.029701587,0.697101687,117.18635
2001,3.293956044,858.9,333.2256427,4.245,20.79428571,0.029008221,0.017273027,0.01875,0.270026858,N/A,N/A,N/A,N/A,2.711994306,802.7104557,3.912194828,24.9016083,0.029435496,0.016957652,0.018281939,0.385404633,114.7391
2002,3.734203297,731.9,248.0477937,3.85125,19.548,0.026466073,0.017469342,0.015510417,0.457038837,N/A,N/A,N/A,N/A,3.284016839,722.6613641,3.692961773,23.70757845,0.030631907,0.014870661,0.013968417,0.543581353,95.1397
2003,2.514423077,566.4,54.51966997,4.3925,21.46875,0.0240233,0.020161277,0.0140625,0.695572496,N/A,N/A,N/A,N/A,1.978278631,552.8386349,8.61945106,54.84493705,0.056985831,0.063062397,0.031612918,1.959264641,123.7954
2004,2.222677596,858.4,299.5240926,4.120769231,23.73138462,0.014664106,0.006825207,0.011346154,0.500198504,N/A,N/A,N/A,N/A,1.886183202,744.1436383,6.615123432,59.47272279,0.076778116,0.031123818,0.028138635,1.409452149,119.3179
2005,3.389041096,729.3,234.4491974,3.694,23.3296,0.01599612,0.008056981,0.011133333,0.3433772,N/A,N/A,N/A,N/A,2.986146893,727.4422763,6.963249466,51.83027957,0.028844973,0.013923063,0.022770781,0.68206164,132.0809
2006,5.097527473,599.8,97.54970056,3.105833333,28.599,0.028795605,0.015360973,0.0165,0.54994874,N/A,N/A,N/A,N/A,4.463468793,564.3609105,6.804677271,79.65049259,0.05296961,0.045855358,0.060698235,1.672758986,121.526
2007,3.654109589,789.7,239.3927178,3.558125,31.398,0.026255768,0.001898661,0.015875,1.077365438,N/A,N/A,N/A,N/A,2.974441763,675.6431774,4.340976144,55.44936711,0.045293745,1.78E-03,0.025389284,1.994137908,75.7957
2008,2.358219178,790.4,262.7635109,3.612941176,18.79058824,0.020463341,0.006425564,0.012941176,0.556673991,N/A,N/A,N/A,N/A,1.625691763,676.1868217,3.455304635,18.19800219,0.021933502,0.004585078,0.011742888,0.609490934,100.2202
2009,2.061977716,833.3,325.4266781,3.503478261,20.05043478,0.021337164,0.007690308,0.011727273,0.556008082,N/A,N/A,N/A,N/A,1.422455579,732.7140825,3.306123781,23.28674645,0.023459741,0.005926441,0.012110246,0.663849273,108.8718
2010,4.61739726,986.7,365.3037136,4.366956522,22.57356522,0.030689053,0.00862336,0.015521739,0.347886028,N/A,N/A,N/A,N/A,3.925390437,793.0131817,4.494976847,26.44500411,0.036809296,0.007708887,0.014930259,0.347460807,128.4974
2011,3.671232877,692.9,204.6001479,3.8085,19.887,0.019839848,0.014938095,0.01585,0.58065908,N/A,N/A,N/A,N/A,2.845044478,602.9100009,6.779315775,48.04892632,0.045129187,0.023001187,0.029110412,0.761591288,104.8143
2012,6.027322404,593.2,67.65366936,3.734545455,18.53563636,0.015247846,0.012025095,0.01,1.01295566,N/A,N/A,N/A,N/A,5.336444273,544.6290958,9.953320707,74.05030303,0.076871945,0.157362046,0.037380471,2.913195842,127.193
2013,2.868493151,738.5,114.7919899,3.849,23.25733333,0.018791559,0.032855415,0.0137,1.296844222,N/A,N/A,N/A,N/A,1.959785634,710.7790907,4.720124595,30.36517713,0.027900726,0.091336763,0.022120482,2.285501646,100.674
2014,0.903424658,822.3,202.4911909,3.95,27.1656,0.025983243,0.005718009,0.0149375,N/A,N/A,N/A,N/A,N/A,0.332257342,688.4804583,0.371680846,37.71361794,0.025376687,0.003690585,0.016102249,N/A,88.1715
