Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrTOCTCICmgL,StrNH4NmgL,StrNO3NO2NmgL,StrTPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWATOCTCICmgL,FWANH4NmgL,FWANO3NO2NmgL,FWATPmgL,FWASO4SmgL,iNDVI
1984,3.281420765,827.8,185.6122,2.284615385,N/A,0.141923077,0.022692308,0.095384615,N/A,0.220296481,0.183815671,0.404112151,0.338182513,3.606666704,669.4599972,4.443134448,N/A,0.136027343,0.044699333,0.16861137,N/A,115.37605
1985,3.246575342,920.3,253.4362,1.966666667,N/A,0.093333333,0.298333333,0.26,1.11555,0.191456804,0.192757615,0.38421442,0.333999397,3.31708317,748.9300146,3.671071271,N/A,0.605144034,0.044575572,0.69230853,3.429956557,108.1266
1986,3.071232877,783.8,164.3511,1.815384615,N/A,0.212307692,0.027692308,0.071538462,0.358615385,0.208723625,0.190323493,0.399047118,0.319228059,3.229166786,736.5700026,2.027288321,N/A,0.194178168,0.060246085,0.122465246,0.863963685,110.92465
1987,5.47260274,812.7,179.0233,2.016666667,N/A,0.146111111,0.041666667,0.158888889,0.3441,0.208901084,0.183763274,0.392664358,0.292902713,5.639999966,609.319994,6.252265687,N/A,0.225011449,0.059603544,0.508951546,1.492080679,106.0112
1988,4.556010929,846.3,211.6714,1.873333333,N/A,0.169333333,0.029,0.105333333,0.69708,0.152676758,0.190962168,0.343638926,0.287179346,4.474166608,621.8700016,6.708195227,N/A,0.26637456,0.068081985,0.412961572,3.056725466,118.3878
1989,3.187671233,849.2,206.9554,1.51,N/A,0.109,0.04575,0.087777778,0.427905,0.289964787,0.215850367,0.505815154,0.323651885,3.289166709,678.5600019,1.797023707,N/A,0.061605208,0.029030181,0.057492704,0.868546479,118.2267
1990,3.489041096,589.6,64.5149,2.775,N/A,0.115416667,0.339166667,0.0425,1.03785,0.160668403,0.133244712,0.293913115,0.174524146,3.707499961,568.239994,8.555440252,N/A,0.361434721,0.419503064,0.094364678,3.219101826,119.80535
1991,4.598630137,659,75.0805,2.6625,N/A,0.08875,0.023125,0.015625,1.7940375,0.16945984,0.158178133,0.327637973,0.23680529,4.559999863,652.6500053,13.25982288,N/A,0.503267661,0.051733216,0.034041779,17.29873608,116.8886
1992,3.31420765,855.2,207.6989,2.694736842,63.48823529,0.072105263,0.2075,0.077894737,1.84815,0.202134293,0.17341993,0.375554223,0.255826581,3.675000012,597.5300016,5.051034131,141.9708275,0.194204277,0.152472025,0.235951498,0.681773681,109.00685
1993,2.579452055,780.2,167.8117,2.60625,64.05,0.08125,N/A,0.08609375,N/A,0.172916412,0.164896129,0.337812541,0.222534471,3.074166596,705.7699857,2.852442196,79.27165224,0.045539236,N/A,0.060650225,N/A,107.5761
1994,3.016438356,880.1,207.2125,2.022222222,65.03333333,0.08,N/A,0.053333333,N/A,0.272445156,0.218853697,0.491298853,0.227263999,3.312083582,715.1299963,0.54504878,23.12317962,0.007252627,N/A,0.015261693,N/A,118.60135
1995,4.07260274,853.9,194.5854,2.157142857,52.87142857,0.062142857,0.059090909,0.034285714,0.544909091,0.19970934,0.173041756,0.372751096,0.201175227,4.613749915,731.2700033,3.84471965,107.316889,0.068046077,0.10833511,0.055412971,1.426072122,110.46865
1996,1.770491803,804.4,190.8692,2.353333333,52.71333333,0.228,0.1,0.173333333,0.312354,0.141373185,0.172703662,0.314076847,0.176454176,2.048749963,714.819994,2.381605839,51.3760291,0.135669218,0.069894736,0.086799584,0.802342445,109.5049
1997,2.973972603,868.3,191.8308,2.05,60.2,0.126,0.015,0.043,0.172161,0.138815632,0.171394611,0.310210243,0.16151509,3.078333219,681.6599979,2.48218601,75.82801262,0.186939873,0.020472375,0.056869779,0.387254489,120.6326
1998,6.098630137,738.3,119.202,1.975,56.75,0.135,0.0225,0.0275,0.2333775,0.234237673,0.171661057,0.40589873,0.223025679,6.312083324,645.4700079,2.859620906,83.31875467,0.154925871,0.023714623,0.032220427,0.689389929,129.94755
1999,4.832876712,986.7,284.5918,1.906666667,54.60666667,0.192666667,0.114666667,0.051333333,0.220224,0.280997034,0.230731241,0.511728275,0.262226868,5.142083297,904.6799994,2.993897952,92.76575215,0.18573261,0.053094007,0.066298618,0.654435635,113.7036
2000,5.06420765,616.3,110.182,2.215384615,63.74615385,0.164615385,0.018461538,0.055384615,0.405747692,0.204558764,0.159937287,0.364496051,0.174763095,5.569999983,612.3100028,2.27217562,68.37627372,0.198330217,0.018344459,0.055757878,0.380490379,120.1343
2001,3.612328767,869.9,271.5432,1.97,61.25,0.125,0.013,0.048,0.67599,0.155915309,0.157110102,0.313025411,0.167026316,3.992916604,757.31001,2.966423009,84.47532448,0.306879829,0.026708771,0.098267818,1.748126217,122.2388
2002,4.706849315,832.9,226.9721,2.285714286,75.87857143,0.148571429,0.1,0.05,0.479044286,0.284785971,0.192696198,0.477482169,0.205876277,5.147916704,671.9800014,2.521764652,98.8978457,0.181163991,0.495899904,0.074289375,0.777471344,107.6211
2003,3.887671233,627,90.7032,2.054545455,66.36363636,0.191818182,0.016363636,0.058181818,0.475281818,0.200628873,0.137435604,0.338064476,0.150830445,4.348750075,516.3999996,4.973751463,182.6504676,0.352452719,0.037536971,0.0869126,0.906732566,116.19055
2004,3.416666667,825.5,195.5987,2.069230769,74.24615385,0.106923077,0.019230769,0.035384615,0.397038462,0.259186449,0.169771667,0.428958115,0.22590819,3.793333133,675.779995,2.640798096,99.26457696,0.153887935,0.015228828,0.049373917,0.467468034,129.6053
2005,4.645205479,680.9,176.3191,1.927272727,58.31818182,0.208181818,0.01,0.041818182,0.614536364,0.190186946,0.138167823,0.328354768,0.165510167,4.925833288,641.9799957,2.822615047,86.2651467,0.445435016,0.022348616,0.06176262,1.022337498,121.20515
2006,5.516438356,634.1,100.4566,1.885714286,55.31428571,0.494285714,0.045714286,0.079285714,0.509014286,0.241575878,0.161893484,0.403469361,0.183288523,5.803333193,556.1499949,5.029769481,152.1172876,0.813697596,0.054367311,0.22919414,1.74967872,110.9386
2007,5.25890411,724.8,123.0445,2.755555556,71.28888889,0.54,0.037777778,0.045,1.6502,0.271520717,0.150655691,0.422176408,0.191558919,5.340416536,654.4999952,9.54160565,265.4662212,0.82816668,0.10033868,0.115973315,4.407065517,119.398
2008,2.734972678,678.9,119.0365,2.861538462,88.02857143,0.613571429,0.027142857,0.047692308,0.409846154,0.233110175,0.139148847,0.372259022,0.168091659,3.250416795,629.5699966,2.226540146,71.44476806,0.140459963,0.02222173,0.0340356,0.827748492,108.81845
2009,2.02739726,722.5,131.0638,2.4,61.85,0.22,0.053333333,0.064166667,0.79365,0.170288634,0.109587927,0.279876561,0.130607708,2.849583536,627.6399918,4.943015521,144.064779,0.426911352,0.123376363,0.149561549,2.334517465,109.30635
2010,4.584931507,798.8,113.0198,2.92,79.78,0.269444444,0.149444444,0.05,0.671257895,0.203926661,0.114559886,0.318486547,0.131298636,5.65749987,726.679997,1.940007696,45.44514065,0.090565131,0.112001716,0.027734659,0.355875298,144.57885
2011,2.806849315,787.2,172.6007,2.2,N/A,0.393333333,0.303333333,0.09125,0.3219,0.250928874,0.172180575,0.423109449,0.147237155,4.225833247,626.5099955,3.265303717,N/A,0.369208497,0.333388153,0.090453466,0.39054337,121.1926
2012,4.909836066,710.6,122.435,2.1,71.9,0.346,0.046,0.055,0.70596,0.270554012,0.1365431,0.407097112,0.122088827,6.51416668,739.6799912,2.894738363,5.754006678,0.424533072,0.105400653,0.079676626,1.37130379,136.29925
2013,3.25890411,749.1,127.1803,2.558333333,N/A,0.286666667,0.0325,0.064583333,1.229325,0.239984331,0.122233353,0.362217684,0.114515937,3.803750058,665.6899967,3.020521275,N/A,0.253154278,0.024339374,0.120390056,1.346977829,124.68415
2014,1.006849315,815.2,193.6358,2.38125,N/A,0.1825,0.050625,0.046875,0.37670625,0.261662393,0.135041474,0.396703867,0.128169115,1.987916688,710.130003,2.057710772,N/A,0.167894545,0.111189044,0.054646051,0.701616716,108.97675
2015,3.279452055,958.1,128.0067,2.492857143,N/A,0.375714286,0.122142857,0.063928571,0.337757143,0.220007043,0.097713157,0.3177202,0.07905412,4.365000178,618.3600025,5.552233638,N/A,0.668978719,0.050043828,0.082860542,0.749291154,145.867
