WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1981,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.475416591,1176.989994,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1982,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.664166735,1118.129993,107.9808,N/A,N/A,N/A,N/A,N/A,N/A
1983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.797500024,1256.130016,110.6844,N/A,N/A,N/A,N/A,N/A,N/A
1984,N/A,879.84,992.6096531,N/A,N/A,N/A,N/A,N/A,N/A,1.757492697,0.949636771,2.707129468,4.84881015,4.298333218,1119.329994,104.2994,N/A,N/A,N/A,N/A,N/A,N/A
1985,5.178630137,1109.8,701.2932879,N/A,6.075438596,N/A,N/A,0.012198507,2.707962,4.203976059,1.280319223,5.484295282,19.78946855,4.710833336,1194.309998,113.2518,N/A,3.282300089,N/A,N/A,3.370882,0.001882693
1986,5.044383562,1192.5,752.8135125,N/A,7.077777778,N/A,N/A,0.017031111,2.195071,5.303179861,2.148726047,7.451905908,14.08779163,4.437916522,1195.279999,120.66635,N/A,2.671254797,N/A,N/A,2.009875,0.001141031
1987,5.568767123,944.5,475.4513139,N/A,7.917482517,N/A,N/A,0.029173469,1.999753,7.693135458,2.730609129,10.42374459,21.14834457,4.824583183,1001.410011,119.65085,N/A,2.960202501,N/A,N/A,3.212967,0.000943929
1988,5.398907104,958.2,473.8143069,N/A,5.774074074,N/A,N/A,0.012023684,5.747143,4.188154297,1.488719403,5.6768737,10.01529629,4.913333357,1027.910004,109.40715,N/A,1.829090573,N/A,N/A,1.533461,0.001418633
1989,5.267123288,962.7,519.7016329,N/A,5.510434783,N/A,N/A,0.009084211,3.973423,1.963225603,0.954846144,2.918071747,10.47749745,4.355416695,1074.920017,110.8641,N/A,2.488490117,N/A,N/A,1.055616,0.001463134
1990,5.048219178,839,439.832864,N/A,5.566055046,N/A,N/A,0.009502778,5.210522,4.605871466,1.667324278,6.273195744,9.484661677,4.38166676,995.200016,119.14035,N/A,2.45276805,N/A,N/A,0.847676,0.001581109
1991,5.635342466,1003.3,551.1658904,N/A,5.858677686,N/A,N/A,0.010755814,3.518488,2.421016739,1.142883103,3.563899842,6.765492836,5.465833217,1164.460003,115.2214,N/A,2.243386601,N/A,N/A,1.473011,0.001392133
1992,4.509562842,877.1,449.5970197,N/A,5.986086957,N/A,N/A,0.008794444,3.891573,3.530721801,1.729063379,5.25978518,11.92552294,4.464583257,955.4299927,123.1081,N/A,2.462675726,N/A,N/A,0.73661,0.00139068
1993,3.590410959,997.8,627.1375085,N/A,6.967213115,N/A,N/A,0.013321739,2.607484,2.964235431,1.111411993,4.075647424,7.547203255,3.662500078,1161.630009,111.2433,N/A,0.794414231,N/A,N/A,1.185303,0.000297612
1994,3.209041096,911.5,546.0455367,N/A,6.795652174,N/A,N/A,0.014878261,2.928022,3.366576746,0.737356338,4.103933084,4.279427969,3.226249923,1042.759998,112.65025,N/A,1.181938,N/A,N/A,1.572981,0.000389841
1995,5.125479452,1040.3,612.8663109,3.167272727,8.334,0.020083333,0.140833333,0.017998,1.868956,5.047125547,1.362774235,6.409899782,6.013615893,5.033750057,1073.390003,103.83815,0.15852677,0.779614201,0.00103927,0.009244041,1.569718,0.000291748
1996,3.746448087,1249.2,774.4494849,3.330857143,9.364705882,0.115166667,0.136888889,0.024263889,1.72051,15.99040064,1.672839952,17.66324059,12.02873567,3.55916672,1193.129986,122.6577,0.239204526,0.609093049,0.003848021,0.017878238,1.329388,0.000160319
1997,4.13369863,1185.9,812.0883619,3.300416667,8.104166667,0.134434783,0.212625,0.026133333,1.611637,3.29355457,1.132424828,4.425979398,7.732381063,4.084166487,1263.18,103.75755,0.35079938,0.75346922,0.005926273,0.042160751,2.205025,0.000252236
1998,5.875890411,743.7,353.7709809,5.756444444,7.362222222,0.075454545,0.246545455,0.024217778,4.550831,2.786647511,1.282460972,4.069108483,8.680130578,5.860833238,811.3000011,136.41085,0.628256867,1.029297774,0.006820296,0.073625547,2.590383,0.000459157
1999,5.665205479,684.1,300.7156494,5.558421053,6.781578947,0.022315789,0.284578947,0.010510526,4.440003,2.171563651,0.777872975,2.949436626,4.752778379,5.826666832,858.2199898,116.6934,0.670797698,1.124569963,0.002656663,0.058250927,1.788918,0.00049948
2000,5.466939891,1041,569.1022625,3.472666667,8.863333333,0.031533333,0.1198,0.01776,2.116065,3.776651055,1.09375772,4.870408775,5.229789483,5.827916602,1118.169991,120.3037,0.265936453,0.800342728,0.001283496,0.010657146,1.257408,0.000170578
2001,4.484931507,950.5,463.3937299,3.425882353,10.36176471,0.050375,0.0648125,0.02531875,1.448908,10.61181208,3.175889468,13.78770155,12.95735657,4.462916833,997.6900101,121.01895,0.232021748,0.717325705,0.00182966,0.011464729,1.349666,0.000149689
2002,6.076712329,1147.7,631.311972,3.67826087,9.095652174,0.059416667,0.091916667,0.018,2.370974,1.957156913,1.411334672,3.368491585,18.49238077,6.059583147,1165.970013,133.35525,0.16807788,0.419519029,0.00108147,0.004870876,0.696363,0.000119723
2003,4.42,876.1,426.139237,4.256097561,7.436842105,0.031219512,0.115707317,0.015756098,3.750439,3.259926326,1.139638612,4.399564938,6.711224083,4.072083374,946.2800064,132.2988,0.42068133,1.09222156,0.002286599,0.025720601,2.017056,0.000331779
2004,5.11147541,1072.9,664.8427969,3.267027027,8.859459459,0.028594595,0.133243243,0.020962162,2.208505,3.773402185,0.956721538,4.730123723,5.799056448,4.733749966,1144.059982,136.8985,0.476120183,1.242565732,0.002546389,0.030126178,9.011275,0.00036508
2005,4.841917808,804.1,446.9871577,3.789714286,8.685714286,0.026722222,0.045833333,0.014572222,2.539212,8.475076626,1.872884083,10.34796071,14.08140906,4.320416739,888.1900005,136.09,0.373773593,0.870237687,0.001403467,0.007509969,1.458885,0.000294088
2006,6.327671233,964.8,488.0684026,4.50625,8.852941176,0.017705882,0.056181818,0.017023529,3.929534,7.430698126,1.503300652,8.933998778,9.027154814,6.311666489,1063.219997,124.859,0.413829838,0.961645666,0.0016075,0.011062764,1.613259,0.000380172
2007,5.348767123,1063.7,621.1696346,2.917073171,9.5775,0.020780488,0.075512195,0.017297561,2.106208,1.68633245,0.677802937,2.364135387,4.535364928,5.320833504,1046.440002,138.4765,0.367556764,1.088635918,0.002106167,0.013233694,1.918817,0.000293826
2008,5.345933971,1016.5,570.3567477,3.703684211,8.554054054,0.016947368,0.116105263,0.010963158,3.367445,N/A,N/A,N/A,N/A,5.217916499,1179.450012,140.8105,0.276745716,0.679625062,0.001095167,0.015083593,0.94077,0.000240637
2009,4.536742466,1046.5,784.4921199,3.383478261,10.62708333,0.027875,0.069916667,0.021975,1.246889,N/A,N/A,N/A,N/A,4.48041652,1264.779995,139.73755,0.280358475,0.950032164,0.00198398,0.010651027,1.87261,0.000172635
2010,6.61009863,899.6,526.1066291,4.123870968,12.18064516,0.107167742,0.059806452,0.030651613,1.003074,N/A,N/A,N/A,N/A,5.723749886,900.46,130.8906,0.211458996,0.648941551,0.003729683,0.003669146,1.448261,7.44E-05
2011,5.410134247,1107.712,686.1234386,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.847499947,1182.660004,114.3018,N/A,N/A,N/A,N/A,N/A,5.74E-05
2012,7.051931694,912.44,428.1644293,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.987916609,973.6299934,153.15775,N/A,N/A,N/A,N/A,N/A,N/A
2013,5.677443836,1100.68,705.4278355,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.541666627,1196.98,130.2031,N/A,N/A,N/A,N/A,N/A,N/A
2014,3.565994521,923.12,739.9878355,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.502916863,1142.120003,119.56785,N/A,N/A,N/A,N/A,N/A,N/A
2015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.859999915,1123.570004,105.46315,N/A,N/A,N/A,N/A,N/A,N/A
2016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.206666579,1024.959995,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2017,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.456249972,1084.540005,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.96499978,1025.640005,N/A,N/A,N/A,N/A,N/A,N/A,N/A
