Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1994,1.752054795,671.7,204.1150182,4.6575,21.99,0.01417132,0.009600608,0.013,0.413087445,N/A,N/A,N/A,N/A,1.119425975,584.7251429,0.017808913,0.08395409,5.42176E-05,3.72913E-05,4.96588E-05,0.001594657,107.3443
1995,3.905906593,603.9,145.6328756,4.509230769,18.96857143,0.027732525,0.02200169,0.017357143,0.604907849,N/A,N/A,N/A,N/A,3.176078576,607.8911158,0.192082228,1.220001434,0.001565129,0.001429394,0.000897376,0.045024001,106.2624
1996,1.138049451,920.7,308.9674173,4.619310345,25.16689655,0.027740175,0.016094125,0.021827586,0.616739124,N/A,N/A,N/A,N/A,0.226137494,732.3083955,0.896197307,5.195490902,0.007248916,0.004447714,0.004565496,0.158454169,92.2929
1997,1.799315068,724.9,258.3681104,5.598947368,25.05473684,0.025052687,0.024884301,0.028894737,0.276709294,N/A,N/A,N/A,N/A,1.139393922,645.1896138,0.19330242,1.202017214,0.0009318,0.000883331,0.000861862,0.025295937,110.33
1998,5.334246575,656.5,164.6813509,4.905909091,23.2992,0.023577689,0.034243881,0.027363636,0.907290244,N/A,N/A,N/A,N/A,4.691290695,576.1889776,0.292176118,2.062602466,0.001400363,0.001332767,0.00126497,0.076920071,130.9648
1999,3.977209945,861.9,230.6280179,4.737727273,27.22909091,0.022412922,0.010458605,0.023954545,0.563073465,N/A,N/A,N/A,N/A,3.46649867,817.7077185,0.260621775,1.752217293,0.001381497,0.000867188,0.001204436,0.050628283,120.1887
2000,3.80942623,842.7,380.2543393,4.033461538,25.92461538,0.031179891,0.012850045,0.016528846,0.37335145,N/A,N/A,N/A,N/A,3.448440464,689.5068475,0.468872232,3.787964252,0.003556622,0.001124357,0.002109949,0.049520885,117.18635
2001,3.293956044,858.9,333.2256427,4.245,20.79428571,0.029008221,0.017273027,0.01875,0.270026858,N/A,N/A,N/A,N/A,2.711994306,805.0268903,0.300113576,1.910260363,0.002258065,0.001300861,0.00140245,0.029565287,114.7391
2002,3.734203297,731.9,248.0477937,3.85125,19.548,0.026466073,0.017469342,0.015510417,0.457038837,N/A,N/A,N/A,N/A,3.284016839,724.3129578,0.242824884,1.558854473,0.002014153,0.000977797,0.000918471,0.035742336,95.1397
2003,2.514423077,566.4,54.51966997,4.3925,21.46875,0.0240233,0.020161277,0.0140625,0.695572496,N/A,N/A,N/A,N/A,1.978278631,554.3602393,0.377838951,2.404161624,0.002498009,0.002764379,0.001385772,0.085885573,123.7954
2004,2.222677596,858.4,299.5240926,4.120769231,23.73138462,0.014664106,0.006825207,0.011346154,0.500198504,N/A,N/A,N/A,N/A,1.886183202,745.6093686,0.469926801,4.224838231,0.005454183,0.002210982,0.001998919,0.100125016,119.3179
2005,3.389041096,729.3,234.4491974,3.694,23.3296,0.01599612,0.008056981,0.011133333,0.3433772,N/A,N/A,N/A,N/A,2.986146893,728.9824356,0.286160937,2.130011489,0.00118541,0.000572181,0.000935786,0.02802993,132.0809
