Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1994,1.752054795,671.7,161.2932262,2.19,47.25,0.000320773,0.01875,2.19,0.033584088,N/A,N/A,N/A,N/A,1.157545711,582.6554546,0.006749692,0.145904059,0.000105302,8.6691E-07,5.78106E-05,0.00029665,107.3443
1995,3.905906593,603.9,167.7905855,1.492,34.632,0.000301798,0.0086,1.492,0.018015048,N/A,N/A,N/A,N/A,3.216001825,605.8927266,0.088897428,2.145208395,0.001055853,1.86727E-05,0.00057582,0.022210124,106.2624
1996,1.138049451,920.7,271.3515499,1.698571429,37.27714286,0.000467606,0.016464286,1.698571429,0.024376889,N/A,N/A,N/A,N/A,0.267223355,729.9977253,0.315456041,6.120658015,0.004719669,9.77562E-05,0.002836227,0.15365298,92.2929
1997,1.799315068,724.9,262.4734788,1.353333333,38.55,0.000640794,0.01825,1.353333333,0.029766243,N/A,N/A,N/A,N/A,1.178062897,644.4500027,0.081131897,2.22755102,0.001261316,4.69602E-05,0.0008887,0.016242549,110.33
1998,5.334246575,656.5,145.421814,2.081333333,42.696,0.000363844,0.012066667,2.081333333,0.015944353,N/A,N/A,N/A,N/A,4.732369061,575.5272754,0.112165757,2.561705321,0.001035524,1.07678E-05,0.000720668,0.030321656,130.9648
1999,3.977209945,861.9,262.3742824,2.295789474,46.15578947,0.000126502,0.010368421,2.295789474,0.023009238,N/A,N/A,N/A,N/A,3.505628711,815.230452,0.125586011,2.542003781,0.0012295,8.29797E-06,0.000681474,0.040535275,120.1887
2000,3.80942623,842.7,317.2794489,1.640384615,39.41538462,0.000513307,0.008528846,1.640384615,0.033091302,N/A,N/A,N/A,N/A,3.480673346,688.4363682,0.227319056,5.303917461,0.004290049,6.07735E-05,0.001306081,0.03123769,117.18635
2001,3.293956044,858.9,412.210333,1.355416667,33.62,0.000549305,0.011458333,1.355416667,0.027630839,N/A,N/A,N/A,N/A,2.744109745,802.7104557,0.13225003,2.690564312,0.00214379,4.97446E-05,0.000915052,0.024095149,114.7391
2002,3.734203297,731.9,262.6718714,1.483809524,34.84,0.001604081,0.011571429,1.483809524,0.03002508,N/A,N/A,N/A,N/A,3.315530153,722.6613641,0.135770393,3.185098187,0.002761334,7.56378E-05,0.001023792,0.027481175,95.1397
2003,2.514423077,566.4,61.15453502,2.374285714,49.80428571,0.00094683,0.012,2.374285714,0.029008221,N/A,N/A,N/A,N/A,2.011552998,552.8386349,0.487315491,10.27469586,0.004789427,0.000328882,0.002266018,0.07063573,123.7954
