WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI,
2001,5.340661644,1134.49,386.8015267,6.14072973,9.750567568,0.012434204,0.039899703,0.012967568,1.269338306,4.391333333,4.091612903,8.482946237,5.76,2.743333345,929.2400017,1.360426326,2.391352635,0.003440789,0.024177189,0.004120073,0.386738288,125.9709,
2002,5.896229292,1315.928,568.6567171,6.937758621,7.646068966,0.006731295,0.046427367,0.00907,3.686039981,4.866555556,5.333548387,10.20010394,5.88,3.734999975,1307.009998,0.913881746,1.303110197,0.001773433,0.01762744,0.001868031,0.371883811,111.38135,
2003,4.736908219,1088.9,346.9287927,5.8193,9.385933333,0.010420387,0.057116308,0.01058,1.780857264,4.162666667,4.209032258,8.371698925,5.22,2.29333329,1012.529995,0.788498343,1.206980873,0.002414908,0.014739736,0.001646954,0.246605833,125.68015,
2004,5.41404235,1301.37,499.3310079,5.454494286,8.675085714,0.015030471,0.029490281,0.009794286,1.451314548,4.470666667,4.678709677,9.149376344,6.09,2.807916716,1182.589981,0.924725422,1.335794061,0.002906992,0.010145663,0.002103152,0.278245081,115.65205,
2005,5.396037947,1043.26,320.0360433,2.512428571,8.205685714,0.009280068,0.030652078,0.00364,0.680687691,3.291555556,3.057419355,6.34897491,4.433333333,2.814583298,994.9999847,0.125973422,1.672049214,0.003709802,0.015670507,0.00016064,0.034902409,127.12005,
2006,7.392630137,960.29,232.0144641,N/A,12.35671429,0.00759843,0.02278413,N/A,N/A,3.901333333,3.73483871,7.636172043,4.603333333,4.702083409,1023.48999,N/A,0.497594631,0.000414442,0.001053207,N/A,N/A,112.9891,
2007,6.250410959,1074.72,336.2622567,12.4648,17.004,0.00559067,0.109157284,0.01468,6.115523361,3.223888889,3.29,6.513888889,4.02,3.555416574,956.2000046,0.138572042,0.225321132,0.000103905,0.000124339,0.000139555,0.072019547,125.0001,
2008,5.179563242,1304.88,449.2737263,11.28416,20.1244,0.011802525,0.00637052,0.01534,6.383978137,4.616111111,3.901935484,8.518046595,5.346666667,3.249583463,1141.609997,0.146058994,0.367720185,0.000297178,6.69959E-05,0.000282851,0.058882229,124.2454,
2009,3.902054795,1037.56,318.8506557,18.02,14.903,0.005435373,0.207832577,0.0095,11.56880873,3.351444444,3.016774194,6.368218638,3.466666667,2.338749881,999.3199959,0.009684906,0.008009664,2.92126E-06,0.0001117,5.1058E-06,0.006217693,122.11215,
2010,5.658630137,900.09,243.7663208,8.378088889,17.422,0.005262822,0.008333384,0.0144,0.896221763,2.031555556,1.580645161,3.612200717,2.083333333,4.015416645,853.9400053,0.178357391,0.398664672,6.35992E-05,9.6816E-05,0.000244745,0.027086035,132.16105,
2011,4.653972603,1228.01,494.5943945,N/A,N/A,N/A,N/A,N/A,N/A,3.243333333,2.477096774,5.720430108,3.18,3.14875008,1132.319996,N/A,N/A,N/A,N/A,N/A,N/A,105.3348,
2012,6.741232877,1409.576571,279.830787,N/A,N/A,N/A,N/A,N/A,N/A,3.701333333,2.48516129,6.186494624,3.068571429,5.175416559,1045.550003,N/A,N/A,N/A,N/A,N/A,N/A,139.4818,
2013,4.621666667,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.435000097,1212.32999,N/A,N/A,N/A,N/A,N/A,N/A,117.9587,
2014,7.509855769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.047499937,1284.920025,N/A,N/A,N/A,N/A,N/A,N/A,111.89235,
2015,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.490416586,1245.090004,N/A,N/A,N/A,N/A,N/A,N/A,119.45845,
