Water Year,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrTOCTCICmgL,StrNH4NmgL,StrNO3NO2NmgL,StrTPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWATOCTCICmgL,FWANH4NmgL,FWANO3NO2NmgL,FWATPmgL,FWASO4SmgL,iNDVI
1961,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1962,2.947945205,N/A,187.7133,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1963,3.842465753,684.3,114.1027,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1964,3.06147541,809.2,210.322,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1965,0.845205479,773.9,191.8506,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1966,2.428767123,958.6,220.7345,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1967,1.519178082,608.3,157.1334,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1968,3.080601093,856.2,185.2038,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1969,2.624657534,788.4,202.1131,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1970,2.819178082,653.2,162.5158,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,2.194520548,850.3,172.4772,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,1.825136612,830,185.7301,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1973,3.790410959,747.7,272.2933,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1974,1.98630137,747.4,203.3599,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1975,3.653424658,840.6,212.3855,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1976,3.799180328,462.1,55.5745,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1977,3.44109589,827.3,165.5927,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1978,2.956164384,858.3,219.1713,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1979,1.590410959,870.1,287.654,N/A,N/A,N/A,N/A,N/A,N/A,0.246154194,0.242432881,0.488587075,0.426068402,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1980,3.700819672,660.1,84.7224,N/A,N/A,N/A,N/A,N/A,N/A,0.203532084,0.221904702,0.425436786,0.376849605,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1981,4.104109589,817.7,186.9419,N/A,N/A,N/A,N/A,N/A,N/A,0.210461424,0.18961502,0.400076444,0.349273486,4.352500007,701.3300118,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1982,2.74109589,775.4,182.6168,N/A,N/A,N/A,N/A,N/A,N/A,0.192823412,0.179590601,0.372414014,0.341394034,2.95208319,728.3699913,N/A,N/A,N/A,N/A,N/A,N/A,107.27025
1983,4.921917808,693.1,75.3206,N/A,N/A,N/A,N/A,N/A,N/A,0.204296577,0.180542798,0.384839375,0.30326663,4.904999952,669.6899967,0.197857938,N/A,0.017970334,0.001594172,0.014073829,N/A,106.40545
1984,3.281420765,827.8,185.6122,2.284615385,N/A,0.141923077,0.022692308,0.095384615,N/A,0.220296481,0.183815671,0.404112151,0.338182513,3.606666704,669.4599972,0.157816251,N/A,0.004831572,0.001587681,0.005988928,N/A,115.37605
1985,3.246575342,920.3,253.4362,1.966666667,N/A,0.093333333,0.298333333,0.26,1.11555,0.191456804,0.192757615,0.38421442,0.333999397,3.31708317,748.9300146,0.060346377,N/A,0.009947573,0.000732749,0.011380414,0.056382848,108.1266
1986,3.071232877,783.8,164.3511,1.815384615,N/A,0.212307692,0.027692308,0.071538462,0.358615385,0.208723625,0.190323493,0.399047118,0.319228059,3.229166786,736.5700026,0.07220479,N/A,0.006915935,0.002145751,0.004361776,0.030771309,110.92465
1987,5.47260274,812.7,179.0233,2.016666667,N/A,0.146111111,0.041666667,0.158888889,0.3441,0.208901084,0.183763274,0.392664358,0.292902713,5.639999966,609.319994,0.308330911,N/A,0.011096455,N/A,0.02509898,N/A,106.0112
1988,4.556010929,846.3,211.6714,1.873333333,N/A,0.169333333,0.029,0.105333333,0.69708,0.152676758,0.190962168,0.343638926,0.287179346,4.474166608,621.8700016,0.274926034,N/A,0.01091699,N/A,0.016924655,N/A,118.3878
1989,3.187671233,849.2,206.9554,1.51,N/A,0.109,0.04575,0.087777778,0.427905,0.289964787,0.215850367,0.505815154,0.323651885,3.289166709,678.5600019,0.098467052,N/A,0.003375628,0.001590695,0.002835257,0.047591588,118.2267
1990,3.489041096,589.6,64.5149,2.775,N/A,0.115416667,0.339166667,0.0425,1.03785,0.160668403,0.133244712,0.293913115,0.174524146,3.707499961,568.239994,0.281274748,N/A,0.011882785,0.013791882,0.0031024,0.105833485,119.80535
1991,4.598630137,659,75.0805,2.6625,N/A,0.08875,0.023125,0.015625,1.7940375,0.16945984,0.158178133,0.327637973,0.23680529,4.559999863,652.6500053,0.290626255,N/A,0.011030524,0.001133879,0.000746121,0.37915038,116.8886
1992,3.31420765,855.2,207.6989,2.694736842,63.48823529,0.072105263,0.2075,0.077894737,1.84815,0.202134293,0.17341993,0.375554223,0.255826581,3.675000012,597.5300016,0.262212154,6.594273408,0.010081643,0.00083318,0.012248848,0.003725539,109.00685
1993,2.579452055,780.2,167.8117,2.60625,64.05,0.08125,N/A,0.08609375,N/A,0.172916412,0.164896129,0.337812541,0.222534471,3.074166596,705.7699857,0.125038562,3.474921742,0.001996241,N/A,0.00265864,N/A,107.5761
1994,3.016438356,880.1,207.2125,2.022222222,65.03333333,0.08,N/A,0.053333333,N/A,0.272445156,0.218853697,0.491298853,0.227263999,3.312083582,715.1299963,0.013439559,0.570160593,0.000178832,N/A,0.000376316,N/A,118.60135
