WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrPO4PmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWAPO4PmgL,FWASO4SmgL,iNDVI
1965,4.695846134,976,495.452,0.990833333,N/A,0.049437848,0.118746346,N/A,2.058482893,2.04721,6.876665,8.923875,30.39344,N/A,N/A,0.971848978,N/A,0.04466882,0.216151068,N/A,1.993873998,N/A
1966,4.803974654,1280.3,756.518,1.329166667,N/A,0.100040462,0.119009892,N/A,2.123297286,2.680131,17.865351,20.545482,42.65963,N/A,N/A,1.371617106,N/A,0.096907473,0.19443765,N/A,2.079945668,N/A
1967,5.084991039,1380,846.328,1.26,N/A,0.05506755,0.117409791,N/A,2.058204719,2.388411,19.809962,22.198373,42.1073,N/A,N/A,1.271800177,N/A,0.033726295,0.16229438,N/A,2.02910752,N/A
1968,5.471786553,1471.1,949.994,1.291666667,N/A,0.023036484,0.189433177,N/A,2.179766479,3.075161,23.584677,26.659838,45.9659,N/A,N/A,1.285316191,N/A,0.019533575,0.294567001,N/A,2.045016375,N/A
1969,6.136911162,1349.8,897.189,1.2975,N/A,0.020706952,0.172999194,N/A,2.041792491,3.301821,16.791253,20.093074,34.092,N/A,N/A,1.305146463,N/A,0.011532366,0.292281654,N/A,1.917027882,N/A
1970,4.971319764,1359.5,869.98,1.5225,N/A,0.038954953,0.50327894,N/A,1.904374849,3.180613,18.38419,21.564803,31.45887,N/A,N/A,1.626381262,N/A,0.034983166,0.731796757,N/A,1.806230225,N/A
1971,5.96453533,1329.8,828.369,1.4675,N/A,0.024265959,0.371223516,N/A,2.194231494,4.608873,25.670895,30.279768,41.66618,N/A,N/A,1.458201611,N/A,0.022055207,0.527021047,N/A,2.120366356,N/A
1972,6.065452354,1281.3,742.507,1.403333333,N/A,0.009059291,0.274671517,0.000760973,2.152227316,2.879046,22.055001,24.934047,33.97796,N/A,N/A,1.434751847,N/A,0.007608132,0.512525226,6.18E-04,2.067396334,N/A
1973,5.457514081,1564.7,1029.492,1.3325,N/A,0.013718356,0.309064284,0.000625085,2.124966327,2.272642,22.393308,24.66595,39.14395,N/A,N/A,1.356236688,N/A,0.015504678,0.40853108,5.78E-04,2.023037019,N/A
1974,5.55859575,1888.4,1400.765,1.378333333,N/A,0.023101193,0.468961472,0.000706617,2.03595085,3.826762,31.078371,34.905133,53.95809,N/A,N/A,1.357149672,N/A,0.024158078,0.527488029,0.000722267,1.943452766,N/A
1975,6.033698157,1307.6,808.076,1.3525,N/A,0.017277363,0.406312798,0.000625085,2.053475772,2.274797,20.839855,23.114652,35.68917,N/A,N/A,1.386990444,N/A,0.015770176,0.554565952,0.000677357,2.007902705,N/A
1976,5.727474972,1769.4,1187.991,1.281666667,N/A,0.012100625,0.413315594,0.000896861,2.032056423,2.407052,24.922712,27.329764,40.81906,N/A,N/A,1.278336275,N/A,0.012744793,0.500759943,8.74E-04,1.986226339,N/A
1977,4.980062724,1401.6,850.022,1.1925,N/A,0.006794469,0.355184853,0.000842505,1.955836921,2.382384,25.17438,27.556764,32.8269,N/A,N/A,1.188781726,N/A,0.005935213,0.533371922,0.000860645,1.822524252,N/A
1978,4.965642601,1532.4,982.263,1.131666667,N/A,0.007247433,0.155793399,0.001277347,1.949717107,2.096327,24.678535,26.774862,39.50182,N/A,N/A,1.10779104,N/A,0.007648019,0.171897497,0.001476259,1.861212614,N/A
1979,5.422452637,1361.9,851.007,1.123333333,N/A,0.008606327,0.158278262,0.001222992,2.053197599,2.299516,23.057514,25.35703,34.54409,N/A,N/A,1.047974071,N/A,0.008958252,0.170557592,0.001377121,1.836636649,N/A
1980,5.95755778,1193.7,708.141,1.148333333,N/A,0.013718356,0.235083127,0.001087104,1.893526088,2.121472,20.193487,22.314959,27.1169,-1.728000021,805.4880066,1.152154924,N/A,0.013969181,0.348081968,0.001420159,1.794609441,N/A
1981,4.905664363,1355.2,779.536,1.128333333,N/A,0.014624285,0.189056682,0.000625085,1.958062308,2.752813,22.389682,25.142495,31.54739,3.748749971,1171.949991,1.11508931,N/A,0.015674774,0.328363207,0.000623075,1.845019186,N/A
1982,4.495289299,1585.3,1029.347,1.005833333,N/A,0.011841788,0.101484076,0.000706617,1.871272219,2.906161,22.525152,25.431313,34.28488,3.384583379,1295.160011,0.970665684,N/A,0.012227742,0.151776833,0.001021687,1.804894726,130.0298
1983,6.062557604,1410,813.047,0.966666667,N/A,0.01164766,0.106152607,0.001195814,1.869325005,2.866427,19.362134,22.228561,31.14552,4.62958311,1337.959991,0.946670094,N/A,0.011908303,0.135403082,0.000987576,1.809642938,131.6334
1984,6.101992955,1637.7,1002.625,0.931666667,N/A,0.012747717,0.056078847,0.001114281,1.805623305,1.50722,15.022715,16.529935,20.64357,4.334583259,1539.03001,0.869898397,N/A,0.012922805,0.048712041,0.001299076,1.68157628,115.03425
