WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH3NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH3Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH3NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL,iNDVI
1964,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1965,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1966,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1967,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1968,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1969,N/A,N/A,1471.241515,3.09,N/A,0.01,0.001,0.027,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.197824513,N/A,0.000563161,3.27E-05,0.001555199,N/A,N/A
1970,N/A,N/A,1061.7462,3.86,N/A,0.005,N/A,0.029,0.73,N/A,N/A,N/A,N/A,N/A,N/A,0.322724192,N/A,0.000401214,9.38E-06,0.002475304,N/A,N/A
1971,N/A,N/A,1488.799127,3.59,N/A,N/A,N/A,0.071,0.42,N/A,N/A,N/A,N/A,N/A,N/A,0.271657419,N/A,N/A,1.10E-06,0.003786718,0.027878589,N/A
1972,N/A,N/A,1995.609664,3.32,N/A,0.001,0.001,0.038,0.16,N/A,N/A,N/A,N/A,N/A,N/A,0.461650008,N/A,1.89E-05,0.000141808,0.005040832,0.04145068,N/A
1973,7.719452055,N/A,644.2492192,2.78,N/A,N/A,0.001,0.051,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.124007952,N/A,1.25E-05,8.95E-05,0.002135862,N/A,N/A
1974,7.750958904,N/A,2082.649366,3.46,N/A,N/A,0.005,0.043,N/A,N/A,9.5328,1.116,N/A,N/A,N/A,0.181246044,N/A,N/A,6.11E-05,0.00229114,N/A,N/A
1975,7.284657534,N/A,1463.844292,2.92,N/A,N/A,0.002,0.037,N/A,N/A,8.8914,N/A,N/A,N/A,N/A,0.116518542,N/A,N/A,0.000117976,0.002333438,N/A,N/A
1976,8.142076503,N/A,1672.779872,4.01,N/A,N/A,0.004,0.042,N/A,N/A,10.7488,N/A,N/A,N/A,N/A,0.350969424,N/A,N/A,0.000417898,0.005248395,N/A,N/A
1977,9.068493151,N/A,374.3225258,4.85,N/A,N/A,0.001,0.036,N/A,N/A,6.549333333,N/A,N/A,N/A,N/A,0.319888504,N/A,N/A,4.73E-05,0.002308651,N/A,N/A
1978,8.555342466,N/A,1305.76822,3.75,N/A,0.015,0.002,0.041,0.23,N/A,5.134363636,N/A,N/A,N/A,N/A,0.394090949,N/A,N/A,0.00018882,0.004499625,N/A,N/A
1979,7.636986301,N/A,1156.758784,4.36,N/A,0.019,0.003,0.032,0.23,5.884,3.947142857,10.249,111.1114286,N/A,N/A,0.182566872,N/A,0.000396676,0.000105352,0.001333002,0.009289607,N/A
1980,8.386338798,1971.2,1136.26531,3.93,N/A,0.008,0.002,0.038,0.35,14.15325,10.52025,24.6735,148.8,N/A,N/A,0.205755757,N/A,0.000422499,9.35E-05,0.002117967,6.21E-05,N/A
1981,9.585753425,2098.7,1050.031531,4.14,N/A,0.008,0.005,0.044,N/A,7.0884,4.6128,11.7012,N/A,9.905416568,1760.38001,0.216870152,N/A,0.000298758,0.00023075,0.002268743,N/A,N/A
1982,8.332876712,2740.9,1901.143956,3.9,N/A,0.003,0.001,0.049,N/A,32.51552727,9.325054545,41.85749091,N/A,8.769166624,2236.870026,0.371414816,N/A,0.000327338,0.0001137,0.004521809,N/A,N/A
1983,9.087945205,2623.7,1590.403012,3.99,N/A,0.009,0.002,0.042,N/A,6.342,16.509,22.851,N/A,9.289166689,2146.260023,0.14909058,N/A,8.96E-05,0.000131518,0.001561451,N/A,111.3494
1984,8.83579235,2666.7,1805.52693,3.49,N/A,0.006,0.004,0.035,0.41,1.792363636,11.77254545,13.56490909,295.2,9.058750021,2144.310009,0.181411468,N/A,0.000281497,0.000146344,0.001799248,0.000679749,111.0202
1985,8.218630137,2044.2,1288.009128,3.47,N/A,0.009,0.002,0.042,N/A,8.1528,11.13555556,18.75422222,N/A,8.70374988,1682.190016,0.106253771,N/A,0.000255112,7.47E-05,0.001216139,N/A,12.4192
1986,8.895068493,2319.2,1313.22301,4.09,N/A,0.004,0.01,0.036,N/A,9.141090909,18.47109091,27.61218182,N/A,9.151249955,1863.810012,0.312213699,N/A,0.000277699,0.000955638,0.002315003,N/A,136.2662
1987,9.590684932,1635.7,976.8076555,4.4,N/A,0.004,0.009,0.048,N/A,3.9615,13.3585,17.32,N/A,10.29583327,1393.829985,0.173246015,N/A,0.00021372,0.000345552,0.001934644,N/A,133.2067
1988,9.071584699,2002.4,968.0864155,4.28,N/A,0.012,0.006,0.035,0.42,5.8838,13.272,19.1558,N/A,9.76666673,1644.99,0.180761135,N/A,0.000550604,0.000313046,0.001515342,N/A,132.3397
1989,8.735261708,2244.2,1414.625413,4.05,N/A,0.011,0.001,0.034,0.38,3.243033333,6.716533333,9.959566667,6.886,9.352083258,1790.709966,0.362993408,N/A,0.000909477,0.000149386,0.002811162,0.037581183,191.0053
1990,9.344931507,1801.7,1011.491134,4.28,N/A,0.014,0.002,0.027,0.25,2.21285,7.9294,10.14225,13.9265,9.845833401,1596.150012,0.13982841,N/A,0.000402908,7.41E-05,0.000839707,0.008268738,140.3812
1991,8.697790055,1959.2,1071.187014,4.39,N/A,0.011,0.002,0.029,0.18,3.963,7.732916667,11.69591667,11.15333333,9.010833412,1636.889991,0.340505965,N/A,0.000757336,0.000184329,0.002415171,0.01441423,N/A
1992,10.75013774,1698.9,858.1066869,4.37,N/A,0.007,0.001,0.03,0.19,1.83738,6.050890909,7.2552,13.60527273,11.20875009,1489.439967,0.314015698,N/A,0.00040801,9.83E-05,0.002474156,0.015959816,233.58395
1993,7.962809917,2438.2,1546.106021,4.46,N/A,0.006,0.001,0.031,0.18,1.737345455,4.901690909,6.639036364,14.52418182,8.804583219,1974.949991,0.257786879,N/A,0.00038966,4.55E-05,0.00179157,0.011060578,105.5303
1994,8.027713499,1523.8,699.253475,4.74,N/A,0.004,0.001,0.028,0.22,1.301566667,3.930333333,5.2319,10.536,9.909166614,1210.61,0.190362641,N/A,0.000190952,2.59E-05,0.001121923,0.009172224,130.69445
