WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrPO4PmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWAPO4PmgL,FWASO4SmgL,iNDVI
1965,-3.934930876,316.5,224.148,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1966,3.070391705,1280.9,779.571,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1967,3.516148233,1303.4,814.941,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1968,4.028092943,1411.8,904.331,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1969,3.957552483,1359,956.233,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1970,3.477592166,1438,954.468,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1971,3.215591398,1312.1,841.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1972,3.652963169,1295.9,789.011,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1973,3.64749744,1593.7,1106.147,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1974,4.290168971,1857.4,1295.263,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1975,3.708448541,1371.6,859.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1976,4.244994438,1737.8,1219.297,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1977,3.739509729,1422.1,928.032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1978,3.70093446,1565,1072.301,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1979,3.478968254,1367.6,880.466,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1980,4.27479916,1209.3,748.993,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.72631171,1021.649069,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1981,3.683499744,1416.8,920.769,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.757719495,1392.579891,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1982,3.183147721,1591.7,1096.194,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.39443306,1053.451162,N/A,N/A,N/A,N/A,N/A,N/A,130.0298
1983,4.701459293,1429.7,897.701,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.630249311,1583.045005,N/A,N/A,N/A,N/A,N/A,N/A,131.6334
1984,4.40778334,1682.5,1099.172,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.337844467,1313.258362,N/A,N/A,N/A,N/A,N/A,N/A,115.03425
1985,4.519278034,1213.3,726.6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.45485633,1098.286156,N/A,N/A,N/A,N/A,N/A,N/A,109.46765
1986,2.768735881,1435.5,964.334,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.279810366,1277.673948,N/A,N/A,N/A,N/A,N/A,N/A,120.6828
1987,4.04109063,1386,905.034,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.870823512,1223.096158,N/A,N/A,N/A,N/A,N/A,N/A,117.1539
1988,4.534773205,1380.6,875.509,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.159263866,1102.917668,N/A,N/A,N/A,N/A,N/A,N/A,93.0501
1989,5.893556472,1258.8,735.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.921202505,1269.847905,N/A,N/A,N/A,N/A,N/A,N/A,122.54815
1990,4.502848182,1614.5,1144.921,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.969772943,1502.923485,N/A,N/A,N/A,N/A,N/A,N/A,132.582
1991,5.64516129,1672.2,1129.039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.469682212,1224.794638,N/A,N/A,N/A,N/A,N/A,N/A,122.7246
