WaterYear,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrPO4PmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,NAMGridTempC,NAMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWAPO4PmgL,FWASO4SmgL,iNDVI
1981,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.144495405,0.385789978,0.530285383,0.827084006,3.995429958,2775.80687,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1982,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.216079744,0.454462257,0.670542001,1.096952182,3.615861934,3079.546619,N/A,N/A,N/A,N/A,N/A,N/A,130.0298
1983,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.178586597,0.381887446,0.560474043,0.749174952,4.860765091,3180.4469,N/A,N/A,N/A,N/A,N/A,N/A,131.6334
1984,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.15685041,0.346946794,0.503797204,0.65165367,4.565819905,3672.263056,N/A,N/A,N/A,N/A,N/A,N/A,115.03425
1985,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.155606043,0.380825563,0.536431606,0.672722465,4.69017636,2481.863683,N/A,N/A,N/A,N/A,N/A,N/A,109.46765
1986,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.098473515,0.326527947,0.425001462,0.546311693,4.505158627,2875.485841,N/A,N/A,N/A,N/A,N/A,N/A,120.6828
1987,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.132172498,0.302483104,0.434655602,0.724196871,4.098217085,2803.07239,N/A,N/A,N/A,N/A,N/A,N/A,117.1539
1988,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.127317013,0.320961038,0.448278051,0.649176594,4.38742224,2907.415276,N/A,N/A,N/A,N/A,N/A,N/A,93.0501
1989,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.125586849,0.354421362,0.480008211,0.691987218,4.159709487,2643.096313,N/A,N/A,N/A,N/A,N/A,N/A,122.54815
1990,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.255410602,0.446584971,0.701995573,0.811382534,4.196466327,3259.113107,N/A,N/A,N/A,N/A,N/A,N/A,132.582
1991,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.171119821,0.380155085,0.551274906,0.796241905,5.700473322,3303.949673,N/A,N/A,N/A,N/A,N/A,N/A,122.7246
1992,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.164687656,0.387319043,0.552006699,0.73507245,4.242653124,2852.730209,N/A,N/A,N/A,N/A,N/A,N/A,123.8395
1993,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.123289172,0.34158351,0.464872682,0.565886622,3.727447979,2667.531346,N/A,N/A,N/A,N/A,N/A,N/A,119.9907
1994,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.165530768,0.362884129,0.528414897,0.62035578,3.575321635,2889.690521,N/A,N/A,N/A,N/A,N/A,N/A,135.32495
1995,N/A,N/A,859.4808,0.62,N/A,0.015529353,0.002258967,0.002605764,1.48207995,0.15112532,0.355512852,0.506638172,0.49095822,5.083517443,2495.62786,N/A,N/A,N/A,N/A,N/A,N/A,124.50215
1996,N/A,1899.12,1298.402,0.74490566,8.88,0.012086525,0.031881265,0.001776098,1.549848012,0.209346162,0.409689436,0.619035598,0.632253915,4.157011457,3554.436757,0.006852722,0.008729435,0.000104453,0.000533235,2.51E-05,0.0161673,132.46715
1997,N/A,1608.8,1115.983,0.681851852,9.23,0.007836572,0.038193269,0.001520029,1.455190361,0.18568178,0.405267019,0.590948799,0.639009349,4.292984054,3342.225417,0.013948896,0.011060723,0.000208678,0.001021101,7.15E-05,0.034935231,138.3548
1998,N/A,1345.3,806.81,0.696296296,6.93,0.010137217,0.029826726,0.001520029,1.47150956,0.125427751,0.289617067,0.415044818,0.445691603,5.43749496,2902.93701,0.012524688,0.015067527,0.000223381,0.001454229,4.69E-05,0.030767048,152.90785
1999,-0.711136713,1616.4,1078.382,0.668709677,11.47,0.005823507,0.062850281,0.002521707,1.35415849,0.153962611,0.340231469,0.49419408,0.54989324,5.498092321,3206.063972,0.018062439,0.015062332,0.000259446,0.003426014,0.000160657,0.0404214,157.05145
2000,3.909213941,1627.3,1012.919,0.733692308,7.54,0.005614458,0.090883441,0.002213396,1.3967294,0.20429319,0.382577346,0.586870536,0.642916459,5.505006986,3413.255408,0.028298949,0.013035385,0.000287423,0.005170127,0.000147755,0.056446976,132.1591
2001,2.753398618,1172,641.571,0.735,6.46,0.004792261,0.084464174,0.001549717,1.450681719,0.103751724,0.24890987,0.352661594,0.36018978,4.03074908,2612.509082,0.027440318,0.019137235,0.00023623,0.006792336,9.81E-05,0.059269124,132.37645
2002,4.685727087,1316.8,731.81,0.719,11.85,0.005888213,0.039569565,0.002163327,1.505612976,0.131673975,0.288133168,0.419807143,0.397253432,5.817763722,2649.877369,0.026220545,0.020421176,0.000451426,0.002341325,0.0001963,0.062502795,134.1432
2003,2.466321045,1160.9,656.908,0.704516129,14.36,0.005134705,0.067878304,0.001880773,1.498608523,0.147774133,0.24973254,0.397506673,0.404730392,3.841054838,2637.977607,0.01947461,0.020040297,0.000199376,0.002889683,8.92E-05,0.046399951,131.1227
2004,3.462903226,1723.5,1155.749,0.601822581,8.14,0.005259942,0.047948388,0.001774651,1.320078404,0.162958315,0.303667151,0.466625466,0.525151027,4.65858636,3275.699556,0.02479672,0.013432164,0.000418931,0.00203194,0.000170723,0.055710959,137.6526
2005,3.224603175,1468.6,1012.529,0.644210526,6.89,0.004086672,0.082313574,0.000934303,1.296849237,0.13170883,0.257815839,0.389524669,0.437050713,4.172025305,3078.727579,0.015623773,0.011295115,0.000151224,0.003601266,2.61E-05,0.034694789,141.80805
2006,4.668727599,1873.8,1333.188,0.604444444,9.9,0.003882338,0.088601691,0.00016286,1.195999453,0.166068953,0.24436461,0.410433563,0.505864951,5.812568596,3895.49801,0.009251928,0.008717687,7.85E-05,0.001761504,3.29E-06,0.019538065,140.06195
2007,3.521550179,1617.2,988.143,0.627272727,8.44,0.004376454,0.090769386,0.00016286,1.174557464,0.124552679,0.191713189,0.316265868,0.351754452,4.949551661,3722.482961,0.013152922,0.011435805,0.000132415,0.002596797,4.59E-06,0.028332174,149.6381
2008,4.121310716,1587.8,1025.778,0.6225,8.24,0.003882338,0.039879449,0.000191048,1.226015461,0.229785003,0.290586117,0.52037112,0.562904583,4.846803758,3268.578228,0.007462209,0.010139467,5.97E-05,0.000871689,2.65E-06,0.016253342,134.92785
2009,3.952982591,1761,1030.524,0.540350877,11.1,0.003882338,0.03111033,0.000277148,1.06271949,0.144270734,0.224603124,0.368873858,0.377047642,4.601787993,3692.837193,0.011214962,0.013576333,0.000105066,0.000643792,7.05E-06,0.023722751,145.5865
2010,4.693605991,1572.1,986.035,0.549473684,8.83,0.003882338,0.01676391,0.00016286,0.969957729,0.127977554,0.165061605,0.293039159,0.255363026,5.480569584,3418.649306,0.014196927,0.013189667,0.000114776,0.0006728,4.81E-06,0.024761694,145.2138
2011,3.589362519,1752.4,1169.231,0.571470588,13.27,0.003882338,0.003056249,0.00016286,0.987955123,0.147231211,0.19659473,0.343825941,0.275026512,4.808491507,3654.016412,0.008179955,0.012271493,7.57E-05,0.000110196,3.18E-06,0.013767317,122.47005
2012,5.707971821,1702.4,1042.989,N/A,10.19,N/A,N/A,N/A,N/A,0.151725615,0.186943189,0.338668804,0.228013818,6.679931431,3300.372741,N/A,0.013380168,N/A,N/A,N/A,N/A,144.9582
2013,N/A,1489.5,918.734,N/A,9.03,N/A,N/A,N/A,N/A,0.160661197,0.180564019,0.341225216,0.202788173,5.377922005,3007.435712,N/A,0.015958345,N/A,N/A,N/A,N/A,133.85875
2014,N/A,1495.2,924.909,N/A,9.5,N/A,N/A,N/A,N/A,0.164194894,0.186437097,0.350631991,0.20755816,4.065980957,3307.644139,N/A,0.014600811,N/A,N/A,N/A,N/A,114.57335
2015,N/A,1486.3,844.269,N/A,14,N/A,N/A,N/A,N/A,0.113759841,0.152591685,0.266351526,0.134982558,4.018929332,2858.139322,N/A,0.016759936,N/A,N/A,N/A,N/A,127.9329
2016,N/A,1668.8,1053.246,N/A,10.52,N/A,N/A,N/A,N/A,0.121325905,0.138948249,0.260274154,0.114928935,6.086054918,3127.055094,N/A,0.007682716,N/A,N/A,N/A,N/A,N/A
2017,N/A,1548.3,865.569,N/A,N/A,N/A,N/A,N/A,N/A,0.156076459,0.174249091,0.33032555,0.119732276,5.618808018,3055.275671,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2018,N/A,1678.6,1040.176,N/A,N/A,N/A,N/A,N/A,N/A,0.182726808,0.173207186,0.355933994,0.113731804,5.139377673,3131.016903,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2019,N/A,1972.3,1228.224,N/A,N/A,N/A,N/A,N/A,N/A,0.102126843,0.115710605,0.217837448,0.083447854,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020,N/A,N/A,1001.183,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
