Year,Month,WaterYear,WaterYearMonth,CSMeanTempC,CSPrecipitationmm,Runoffmm,StrCamgL,StrDOCmgL,StrNH4NmgL,StrNO3NmgL,StrTDPmgL,StrSO4SmgL,depNH4Nkgha,depNO3Nkgha,depTotNkgha,depSO4Skgha,N/AMGridTempC,N/AMGridPrecipitationmm,FWACamgL,FWADOCmgL,FWANH4NmgL,FWANO3NmgL,FWATDPmgL,FWASO4SmgL
1993,5,1993,19935,11.04335609,76.454,67.5686935,10.79261494,0.620911289,0.003063863,0.036456435,N/A,1.247890739,0.359852918,0.443283712,0.80313663,0.8493082,16.82999992,61.08000183,10.12658325,0.634021435,0.002811953,0.034804148,N/A,1.175426857
1993,6,1993,19936,15.32888597,151.384,53.90705298,14.13424293,0.96012204,0.004777228,0.049024346,N/A,1.528067803,0.262281398,0.388723617,0.651005014,1.02605177,20.31999969,121.8099976,13.03206095,1.336559801,0.010109994,0.045426522,N/A,1.372534073
1993,7,1993,19937,18.79897901,81.026,11.29003062,139.8958961,6.140909285,0.025133885,0.522668563,N/A,13.14132305,0.08560971,0.182181789,0.267791499,0.678367459,23.89999962,118.5800018,83.9147414,3.910529695,0.021700561,0.332753725,N/A,7.968180602
1993,8,1993,19938,18.50290411,141.732,10.8264297,119.0004688,4.354408436,0.059616768,0.408131417,N/A,10.85936407,0.051292037,0.342018126,0.393310163,1.035424218,23.94000053,87.69999695,88.524105,4.826152427,0.060500093,0.294002842,N/A,8.061254484
1993,9,1993,19939,12.21043344,155.702,33.16403678,48.36037708,2.439928225,0.030612825,0.165252074,N/A,4.700757847,0.194275212,0.48963305,0.683908262,1.39443575,17.15999985,124.8600006,25.14048593,1.498611292,0.015378104,0.088143986,N/A,2.451808522
1993,10,1994,199410,5.946035899,83.55253571,42.59327538,18.41507798,1.131908614,0.004573308,0.032751374,N/A,2.069096645,0.176656606,0.30556686,0.482223465,0.641155178,9.609999657,95.33999634,17.61897843,1.06918286,0.004226019,0.030814909,N/A,2.019209165
1993,11,1994,199411,0.595759842,83.60034309,52.24102013,13.87717567,0.858597207,0.005552639,0.057563033,N/A,1.83946594,0.190415066,0.501038108,0.691453174,0.390533627,4.25,76.72000122,12.36959,0.787120923,0.005551193,0.059372411,N/A,1.660725418
1993,12,1994,199412,-6.155949823,88.9345514,47.85504626,15.66019914,0.781366039,0.005744561,0.11237236,N/A,2.115664874,0.176913714,0.415001808,0.591915522,0.243958004,-2.670000076,77.62000275,13.94043162,0.694179665,0.005642038,0.099888092,N/A,1.870601347
1994,1,1994,19941,-16.05212672,109.3385659,20.27829082,40.45879639,1.509993739,0.025369084,0.350186657,N/A,5.699203676,0.063052098,0.375437388,0.438489486,0.119605306,-9.819999695,98.20999908,34.42104694,1.304843699,0.021204943,0.316494147,N/A,5.000085753
1994,2,1994,19942,-11.7200693,38.32177591,15.50682361,41.5829727,1.556967806,0.015017479,0.503197953,N/A,7.115793554,0.035795102,0.214305905,0.250101007,0.068436558,-5.920000076,45.56999969,38.65137148,1.505143837,0.011607793,0.494878397,N/A,6.439746494
