"solute","watershed","Bias_MARSS","Bias_L95_MARSS","Bias_U95_MARSS","Sig_MARSS","Bias_MKandSens","Bias_L95_MKandSens","Bias_U95_MKandSens","pval_MKandSens","Sig_MKandSens"
"Ca","C32",-0.560269166967187,-21.8781041906825,19.9642521432668,"NS",0.339758498446242,-0.186180359737582,0.858743282768735,0.216144292131498,"NS"
"Ca","C35",-1.17422512301686,-6.49834103718057,4.50844805677004,"NS",-0.70242143744551,-0.965271230132252,-0.428970092449127,8.46114208961554e-07,"Sig"
"Ca","C38",0.366055820675015,-23.8792099916945,24.9763734044951,"NS",0.388543915969698,-0.0967353022269928,0.882737516675191,0.116269970412482,"NS"
"Ca","EB",-2.72091059808957,-5.99696505883096,0.548525328490967,"NS",-3.11353868014862,-3.38759098950157,-2.84254538253638,6.21101425292466e-51,"Sig"
"Ca","EIF",0.333646374697416,-9.19260911673652,9.02174425554687,"NS",-0.223280811337836,-1.34355032690319,0.817656198110485,0.658967460601099,"NS"
"Ca","GSWS08",0.092643575996032,-0.776148888759209,0.969991823924143,"NS",0.0942276152400427,-0.0757996456063441,0.268933909636328,0.276542107001615,"NS"
"Ca","GSWS09",0.288034562764938,0.168011760548836,0.411670597471314,"Sig",0.296422923335126,0.0507563355802755,0.540605045473714,0.0176317840849376,"Sig"
"Ca","HP3",2.17396684648499,-21.4067611700391,28.1654559861867,"NS",-1.03740051362332,-1.68058237342526,-0.415383025065443,0.00133730009094347,"Sig"
"Ca","HP3A",-0.289165154199278,-9.13306725865826,9.57802219202089,"NS",-1.30863199298585,-1.67406503395215,-0.903318891407474,4.11389103340982e-09,"Sig"
"Ca","HP4",-0.411529418669998,-5.50732344483329,4.30369902476135,"NS",-0.778372674731444,-1.16841381775405,-0.381692689057911,0.000190633836353123,"Sig"
"Ca","HP5",2.12588084953751,-15.8543349670487,19.5983177605256,"NS",-0.116339359969218,-0.708900636087372,0.487699342309008,0.699034774137327,"NS"
"Ca","HP6",1.52496814980658,-22.702500945222,27.7970616113099,"NS",-1.61804325223952,-2.33886844306273,-0.935060779051803,3.499432777053e-06,"Sig"
"Ca","HP6A",3.52115597443872,-32.4336301365062,41.6256844342634,"NS",-1.64400592582286,-2.48371795425179,-0.809000762852463,0.000225988363959483,"Sig"
"Ca","NEIF",0.139208073912211,-16.6829468845657,15.5802767259944,"NS",-2.11140352358589,-3.9065635149481,-0.169651338172284,0.0302439528534673,"Sig"
"Ca","NWIF",-0.232777419860142,-6.98757641724908,6.58198531827665,"NS",-1.46819983381199,-2.54597007290005,-0.512364388562196,0.00436302224475276,"Sig"
"Ca","S2",0.698603273833331,-14.9066394073423,18.1356775388627,"NS",0.997785768356708,0.0519126729384177,1.96772204387382,0.0397418658071352,"Sig"
"Ca","S5",1.58504590014541,-12.1777877014861,15.701840831771,"NS",1.28068648360888,0.343404622556526,2.17149391421715,0.00614276118582618,"Sig"
"Ca","W9",-0.148790774781293,-2.96034247198445,2.61885351317623,"NS",-0.360502109158645,-0.598861652137415,-0.112766065962554,0.00454422109692434,"Sig"
"Ca","WS6",-1.90648394361634,-3.2116944071884,-0.689801663016354,"Sig",-2.04792320337222,-2.14171019137574,-1.95138904513128,1.59479565410727e-100,"Sig"
"Ca","WS7",-1.79865067474694,-3.12791629359723,-0.341951269629437,"Sig",-1.91180927767312,-2.16618832919611,-1.65920556162402,9.62382028179279e-35,"Sig"
"Ca","WS8",-1.77468640811864,-4.31223332280801,0.576138262120995,"NS",-1.75257012845342,-2.00541921778677,-1.49749454984121,9.40942714986645e-29,"Sig"
"Ca","WS9",-2.51735585122805,-23.8792099916945,20.2082693946071,"NS",-1.90159001700013,-2.25818336445257,-1.54615186658492,3.71120947637196e-20,"Sig"
"DOC","C32",-0.0931163870374174,-5.71036994040655,5.71355895985253,"NS",-0.844740131609982,-1.68160382631752,0.0200233512541094,0.0549564775424765,"NS"
"DOC","C35",-0.820519350391802,-2.52933061779559,0.872717194261963,"NS",-0.474520842951585,-0.957014267477646,0.0404935266929989,0.0700058743497961,"NS"
"DOC","C38",2.48657271486703,-11.6787975917328,17.1615586963216,"NS",2.7251101732114,1.96233093273649,3.52607821851801,2.71299218459378e-10,"Sig"
"DOC","EB",-0.658619192489329,-2.85260405465086,1.52496814980658,"NS",-0.776748400021312,-1.31232015808057,-0.231524805596654,0.00486876578327765,"Sig"
"DOC","EIF",-0.127193258638192,-1.64287437409456,1.27267439826637,"NS",0.00574279478956179,-0.984265277374551,1.03826079766481,0.990840084768346,"NS"
"DOC","GSWS08",1.64512665444692,0.953178361733098,2.3182363785053,"Sig",1.44319084608154,0.526449886027295,2.31962429306999,0.00159444734111767,"Sig"
"DOC","GSWS09",0.0265202930482822,-0.728178975322935,0.709409609891054,"NS",0,-0.826395596656816,0.820269016390088,0.997489239685878,"NS"
"DOC","HP3",1.58504590014541,-3.78601494591679,7.11299820608495,"NS",1.35464201777127,0.477902455780814,2.32542836903292,0.00346477255970694,"Sig"
"DOC","HP3A",-0.117474249541605,-0.602248822897966,0.346850117427788,"NS",-0.0516704397987549,-0.555560949783556,0.472495361136446,0.85197839640688,"NS"
"DOC","HP4",0.687797035031945,0.248425711174072,1.17057056041698,"Sig",0.770646300202083,0.318723753680594,1.23490199177735,0.00100644490149441,"Sig"
"DOC","HP5",0.988006508911354,-4.96968077985653,6.5940511984591,"NS",1.15384809304278,0.0895800243034401,2.1561892674324,0.0327288897693992,"Sig"
"DOC","HP6",2.16194516692516,1.68117654899218,2.66695922942457,"Sig",2.41157418803875,1.59100115948412,3.27005609995285,1.19285579461347e-07,"Sig"
"DOC","HP6A",2.19801056625828,-4.9457799344645,9.8078638505033,"NS",1.75570346228259,0.520810865067994,2.93215344079823,0.00533491346736874,"Sig"
"DOC","NEIF",-0.307160681755247,-4.07307185412282,3.83411215753267,"NS",-0.398717132467203,-1.82708296273493,1.04409729056442,0.587905576383412,"NS"
"DOC","NWIF",0.38646221707781,-1.91846481887237,2.78723193888277,"NS",1.43122440794451,0.35585246437809,2.45626189362055,0.00994182711959431,"Sig"
"DOC","S2",0.961585063404957,0.454886195489035,1.42884999713218,"Sig",1.61030496735697,0.542969322352661,2.60059254629946,0.00361073174079961,"Sig"
"DOC","S5",0.935164199164262,0.460888484925714,1.40482166041638,"Sig",1.51728747991949,0.627217577518917,2.3645413249551,0.00103058934357127,"Sig"
"DOC","W9",1.80135067525331,-47.6290025863044,55.4845036831808,"NS",2.17524332236074,1.32214431270519,3.04051412092573,9.53980274823972e-07,"Sig"
"DOC","WS6",0.439280383406437,0.096123849708718,0.805470205032588,"Sig",0.232658548934801,-0.15490184896923,0.637577442231014,0.23463559264424,"NS"
"DOC","WS7",0.646974343922313,-0.663416548417839,2.02971462576986,"NS",0.496318106015519,0.0835703055938723,0.906867837871656,0.0174804151112281,"Sig"
"DOC","WS8",0.894333097714206,-0.674210529095909,2.36633006982805,"NS",0.775271388116907,0.16878404266079,1.39605399625412,0.0121517633086485,"Sig"
"DOC","WS9",1.44086434570365,-1.81063262833039,4.64095127359965,"NS",1.05084148915639,0.402087401590869,1.70286867357098,0.00135816906450858,"Sig"
"NH4N","C32",0,0,0,"NS",NA,NA,NA,NA,NA
"NH4N","C35",0,0,0,"NS",NA,NA,NA,NA,NA
"NH4N","C38",-4.68283908361702,-18.9291147502904,10.2918837935787,"NS",-4.67393762470705,-5.86266247851496,-3.22298356989215,4.75849054838482e-17,"Sig"
"NH4N","EIF",-1.01836764176597,-1.88252183367488,-0.160789226881164,"Sig",-2.4768643065952,-4.14844423344147,-0.654444012282749,0.00714942848677388,"Sig"
"NH4N","HP3",-2.14607868655468,-63.081472197842,57.7464108955868,"NS",1.45495282793751,-0.266171743253768,3.27712586797685,0.100618719718623,"NS"
"NH4N","HP3A",2.13790216845249,-78.4388969790614,91.2639653861919,"NS",2.6139648881413,0.849215463568291,4.35854105651028,0.00394576248063289,"Sig"
"NH4N","HP4",-2.33771998225234,-85.1481158130408,80.8469730404074,"NS",-0.918174278081389,-3.03456349258003,1.09518103313247,0.372352302824831,"NS"
"NH4N","HP5",5.41216824552153,-109.516084609805,140.87388822535,"NS",-1.35338262803052,-3.66303287164494,1.02773144159981,0.258583262251245,"NS"
"NH4N","HP6",-1.73873910950406,-70.6733650929333,76.6271445758344,"NS",-3.64032466839768,-5.46017311424025,-1.75492909885459,0.000238795871219445,"Sig"
"NH4N","HP6A",4.58072073181199,-46.9373725195851,63.0400546916658,"NS",5.53372542791672,3.63196891534757,7.45268317090932,6.68479091384178e-08,"Sig"
"NH4N","NEIF",-1.95440672579652,-12.4153283890853,8.70743946343406,"NS",0.761650871510098,-1.22782941361551,2.55692496137194,0.458242906130347,"NS"
"NH4N","NWIF",-1.61890699190899,-11.1439327150777,7.87371899684315,"NS",-1.65384502058152,-3.5748128103148,0.138126335187319,0.0688773956558688,"NS"
"NH4N","WS6",0,0,0,"NS",NA,NA,NA,NA,NA
"NH4N","WS7",-3.76209042697124,-9.16879273075568,1.58504590014541,"NS",-3.80549736524003,-4.70150662802112,-2.85574356215298,1.09988013234295e-43,"Sig"
"NH4N","WS8",-3.05610181416194,-9.89497825808634,3.43691244207829,"NS",-2.68870647662053,-3.52537501670495,-1.88422832329504,2.10386558002415e-40,"Sig"
"NH4N","WS9",-1.22337597218753,-4.39592853710868,2.13790216845249,"NS",0,0,0,1.47492600005524e-11,"Sig"
"NO3N","C32",1.44086434570365,0.478895533305579,2.39037763690435,"Sig",2.0112495067013,1.11315312790662,2.86301892641387,1.98522109803416e-05,"Sig"
"NO3N","C35",0.998815449610113,0.119525952293564,1.89749862917399,"Sig",1.10360833471228,0.43417303299267,1.75766538302449,0.00109985781313119,"Sig"
"NO3N","C38",1.99365427523892,-14.6695970317763,18.2574971974982,"NS",0.93934106861599,0,3.11881053136878,0.0812751748129759,"NS"
"NO3N","EB",-15.1436343791737,-127.146890999571,106.721798265038,"NS",-12.9919679827493,-18.0357231821195,-8.24068099630747,1.23079576231248e-16,"Sig"
