STCODE,FORMAT,SITECODE,WATERYEAR,MEAN_Q,MAX_Q,MIN_Q,MEAN_Q_AREA,TOTAL_Q_AREA,ESTCODE,ESTDAYS,TOTAL_DAYS,TOTAL_Q_AREA mm
HF004,4,GSWS09,2008,0.133,2.17,0.001,4.038,54.957,A,0,366,1395.9078
HF004,4,GSWS09,2009,0.105,3.467,0.001,3.193,43.345,A,7,365,1100.963
HF004,4,GSWS09,2010,0.086,1.815,0.001,2.62,35.57,A,2,365,903.478
HF004,4,GSWS09,2011,0.14,2.735,0.002,4.239,57.541,A,5,365,1461.5414
HF004,4,GSWS09,2012,0.125,2.807,0.001,3.802,51.756,E,17,366,1314.6024
HF004,4,GSWS09,2013,0.104,2.069,0.001,3.163,42.94,E,19,365,1090.676
HF004,4,GSWS09,2014,0.106,2.481,0.001,3.211,43.594,A,0,365,1107.2876
HF004,4,GSWS09,2015,0.075,2.612,0,2.276,30.871,E,10,365,784.1234
HF004,4,GSWS09,2016,0.104,2.491,0,3.15,42.877,A,1,366,1089.0758
HF004,4,GSWS09,2017,0.152,2.224,0,4.607,62.541,A,2,365,1588.5414
HF004,4,GSWS09,2018,0.089,2.003,0,2.714,36.835,A,0,365,935.609
HF004,4,GSWS09,2019,0.086,1.894,0,2.604,35.349,A,0,365,897.8646
HF004,4,GSWS10,1969,0.193,5.351,0.004,4.883,66.292,A,4,365,1683.8168
HF004,4,GSWS10,1970,0.153,3.123,0.003,3.859,52.38,E,88,365,1330.452
HF004,4,GSWS10,1971,0.195,4.181,0.003,4.939,67.035,E,39,365,1702.689
HF004,4,GSWS10,1972,0.258,6.773,0.002,6.529,88.866,E,50,366,2257.1964
HF004,4,GSWS10,1973,0.091,2.601,0.002,2.309,31.35,A,1,365,796.29
HF004,4,GSWS10,1974,0.262,2.903,0.002,6.616,89.812,A,0,365,2281.2248
HF004,4,GSWS10,1975,0.172,3.185,0.001,4.364,59.238,A,0,365,1504.6452
HF004,4,GSWS10,1976,0.222,3.817,0.006,5.611,76.375,E,18,366,1939.925
HF004,4,GSWS10,1977,0.082,1.224,0.006,2.07,28.095,E,66,365,713.613
HF004,4,GSWS10,1978,0.209,4.831,0.008,5.296,71.891,A,0,365,1826.0314
HF004,4,GSWS10,1979,0.156,4.513,0.004,3.947,53.573,A,3,365,1360.7542
HF004,4,GSWS10,1980,0.149,3.998,0.001,3.769,51.304,A,5,366,1303.1216
HF004,4,GSWS10,1981,0.156,3.396,0.002,3.937,53.433,A,0,365,1357.1982
HF004,4,GSWS10,1982,0.238,4.232,0.003,6.021,81.73,A,0,365,2075.942
HF004,4,GSWS10,1983,0.221,3.024,0.006,5.586,75.832,A,0,365,1926.1328
HF004,4,GSWS10,1984,0.232,4.104,0.006,5.88,80.032,A,0,366,2032.8128
HF004,4,GSWS10,1985,0.161,2.531,0.005,4.06,55.112,A,0,365,1399.8448
HF004,4,GSWS10,1986,0.187,5.124,0.001,4.725,64.123,E,44,365,1628.7242
HF004,4,GSWS10,1987,0.135,3.095,0.001,3.415,46.36,E,19,365,1177.544
HF004,4,GSWS10,1988,0.133,3.114,0,3.353,45.628,A,0,366,1158.9512
HF004,4,GSWS10,1989,0.171,5.721,0,4.324,58.697,E,21,365,1490.9038
HF004,4,GSWS10,1990,0.138,4.153,0,3.503,47.542,A,0,365,1207.5668
HF004,4,GSWS10,1991,0.136,2.252,0.001,3.437,46.662,A,0,365,1185.2148
HF004,4,GSWS10,1992,0.105,2.459,0,2.648,36.035,A,0,366,915.289
HF004,4,GSWS10,1993,0.196,2.877,0,4.965,67.394,A,7,365,1711.8076
HF004,4,GSWS10,1994,0.088,2.721,0.001,2.224,30.183,A,0,365,766.6482
HF004,4,GSWS10,1995,0.183,3.734,0,4.624,62.773,A,0,365,1594.4342
HF004,4,GSWS10,1996,0.269,6.849,0.004,6.796,92.503,A,5,366,2349.5762
HF004,4,GSWS10,1997,0.271,4.829,0.002,6.855,93.049,A,3,365,2363.4446
HF004,4,GSWS10,1998,0.144,2.732,0.003,3.649,49.529,A,16,365,1258.0366
HF004,4,GSWS10,1999,0.231,6.502,0.002,5.842,79.304,A,0,365,2014.3216
HF004,4,GSWS10,2000,0.18,3.907,0.002,4.548,61.908,A,0,366,1572.4632
HF004,4,GSWS10,2001,0.063,1.316,0.001,1.591,21.6,A,5,365,548.64
HF004,4,GSWS10,2002,0.17,3.949,0,4.305,58.442,A,1,365,1484.4268
HF004,4,GSWS10,2003,0.147,3.049,0,3.711,50.371,A,0,365,1279.4234
HF004,4,GSWS10,2004,0.147,3.463,0.002,3.726,50.717,A,0,366,1288.2118
HF004,4,GSWS10,2005,0.1,2.228,0.002,2.52,34.211,E,60,365,868.9594
HF004,4,GSWS10,2006,0.183,4.838,0,4.621,62.73,A,1,365,1593.342
HF004,4,GSWS10,2007,0.158,3.571,0,3.99,54.168,A,9,365,1375.8672
HF004,4,GSWS10,2008,0.178,2.269,0.001,4.5,61.246,A,1,366,1555.6484
HF004,4,GSWS10,2009,0.157,5.285,0.001,3.964,53.815,A,0,365,1366.901
HF004,4,GSWS10,2010,0.135,2.531,0.002,3.418,46.392,A,1,365,1178.3568
HF004,4,GSWS10,2011,0.201,3.879,0.001,5.095,69.165,A,1,365,1756.791
HF004,4,GSWS10,2012,0.181,4.033,0.001,4.574,62.257,A,1,366,1581.3278
HF004,4,GSWS10,2013,0.142,3.133,0.002,3.59,48.729,A,1,365,1237.7166
HF004,4,GSWS10,2014,0.152,4.04,0.001,3.838,52.098,A,0,365,1323.2892
HF004,4,GSWS10,2015,0.104,4.182,0.001,2.638,35.806,A,11,365,909.4724
HF004,4,GSWS10,2016,0.162,3.416,0.001,4.094,55.73,E,25,366,1415.542
HF004,4,GSWS10,2017,0.19,3.166,0.001,4.815,65.357,A,1,365,1660.0678
HF004,4,GSWS10,2018,0.129,2.399,0,3.273,44.433,A,0,365,1128.5982
HF004,4,GSWS10,2019,0.113,2.764,0.001,2.85,38.688,A,0,365,982.6752
HF004,4,GSWSMA,1980,11.347,208.479,1.198,5.057,68.843,E,28,366,1748.6122
HF004,4,GSWSMA,1981,11.713,254.263,1.213,5.22,70.868,A,9,365,1800.0472
HF004,4,GSWSMA,1982,17.377,229.316,1.521,7.744,105.124,E,14,365,2670.1496
HF004,4,GSWSMA,1983,14.601,147.554,1.521,6.507,88.337,E,24,365,2243.7598
HF004,4,GSWSMA,1984,16.59,193.716,1.457,7.394,100.635,A,0,366,2556.129
HF004,4,GSWSMA,1985,13.081,152.521,1.473,5.83,79.135,A,4,365,2010.029
HF004,4,GSWSMA,1986,13.344,299.405,1.257,5.947,80.728,A,0,365,2050.4912
HF004,4,GSWSMA,1987,8.985,83.808,1.257,4.004,54.354,A,4,365,1380.5916
HF004,4,GSWSMA,1988,9.805,138.432,0.588,4.37,59.479,A,0,366,1510.7666
HF004,4,GSWSMA,1989,12.288,135.341,0.545,5.476,74.334,A,0,365,1888.0836
HF004,4,GSWSMA,1990,10.031,236.093,0.654,4.471,60.686,A,8,365,1541.4244
HF004,4,GSWSMA,1991,9.426,137.519,0.609,4.201,57.025,E,88,365,1448.435
HF004,4,GSWSMA,1992,6.527,139.165,0.504,2.909,39.592,A,0,366,1005.6368
HF004,4,GSWSMA,1993,13.271,152.714,0.494,5.915,80.287,A,0,365,2039.2898
HF004,4,GSWSMA,1994,6.934,101.157,0.514,3.09,41.956,A,0,365,1065.6824
HF004,4,GSWSMA,1995,10.439,168.363,0.408,4.653,63.161,A,4,365,1604.2894
HF004,4,GSWSMA,1996,15.3,345.843,0.494,6.819,92.818,A,8,366,2357.5772
HF004,4,GSWSMA,1997,16.609,254.263,0.494,7.402,100.491,A,0,365,2552.4714
HF004,4,GSWSMA,1998,9.622,185.052,0.577,4.289,58.219,A,0,365,1478.7626
HF004,4,GSWSMA,1999,14.614,209.85,0.609,6.513,88.412,A,0,365,2245.6648
HF004,4,GSWSMA,2000,12.099,337.507,0.7,5.392,73.403,A,0,366,1864.4362
HF004,4,GSWSMA,2001,5.355,53.874,0.417,2.386,32.4,A,0,365,822.96
HF004,4,GSWSMA,2002,11.725,206.886,0.408,5.226,70.93,A,0,365,1801.622
HF004,4,GSWSMA,2003,10.269,168.974,0.632,4.577,62.116,A,0,365,1577.7464
HF004,4,GSWSMA,2004,11.083,159.546,0.654,4.939,67.233,A,0,366,1707.7182
HF004,4,GSWSMA,2005,7.383,166.135,0.643,3.29,44.673,A,0,365,1134.6942
HF004,4,GSWSMA,2006,12.238,245.461,0.735,5.454,74.041,A,0,365,1880.6414
HF004,4,GSWSMA,2007,11.474,245.212,0.609,5.114,69.416,A,0,365,1763.1664
HF004,4,GSWSMA,2008,14.684,149.263,0.857,6.544,89.079,A,0,366,2262.6066
HF004,4,GSWSMA,2009,12.53,225.967,0.609,5.584,75.804,A,0,365,1925.4216
HF004,4,GSWSMA,2010,9.651,110.981,0.032,4.301,58.404,E,45,365,1483.4616
HF004,4,GSWSMA,2011,13.234,320.589,0.042,5.898,80.082,E,62,365,2034.0828
HF004,4,GSWSMA,2012,12.945,195.474,0.62,5.769,78.522,A,0,366,1994.4588
HF004,4,GSWSMA,2013,10.509,192.184,0.599,4.684,63.577,A,0,365,1614.8558
HF004,4,GSWSMA,2014,12.025,225.967,0.632,5.359,72.748,A,0,365,1847.7992
HF004,4,GSWSMA,2015,8.008,244.714,0.588,3.569,48.445,A,5,365,1230.503
HF004,4,GSWSMA,2016,11.201,164.323,0.545,4.992,67.952,A,1,366,1725.9808
HF004,4,GSWSMA,2017,13.716,140.637,0.62,6.113,82.982,A,1,365,2107.7428
HF004,4,GSWSMA,2018,10.433,221.701,0.632,4.65,63.116,A,0,365,1603.1464
HF004,4,GSWSMA,2019,9.117,209.393,0.599,4.063,55.158,A,8,365,1401.0132
HF004,4,GSWSMC,1996,16.593,345.843,0.688,7.395,102.143,E,13,366,2594.4322
HF004,4,GSWSMC,1997,16.755,254.264,0.696,7.468,102.944,A,0,365,2614.7776
HF004,4,GSWSMC,1998,10.172,185.052,0.627,4.533,61.843,A,0,365,1570.8122
HF004,4,GSWSMC,1999,15.14,209.85,0.64,6.748,91.985,A,0,365,2336.419
HF004,4,GSWSMC,2000,12.231,337.507,0.791,5.451,74.573,A,0,366,1894.1542
HF004,4,GSWSMC,2001,5.578,54.519,0.529,2.486,33.691,A,0,365,855.7514
HF004,4,GSWSMC,2002,11.914,206.887,0.619,5.31,72.222,A,0,365,1834.4388
HF004,4,GSWSMC,2003,10.433,168.975,0.633,4.65,63.272,A,0,365,1607.1088
HF004,4,GSWSMC,2004,11.212,159.546,0.664,4.997,68.144,A,0,366,1730.8576
HF004,4,GSWSMC,2005,7.606,166.136,0.664,3.39,46.129,A,0,365,1171.6766
HF004,4,GSWSMC,2006,12.385,245.466,0.783,5.52,75.172,A,0,365,1909.3688
HF004,4,GSWSMC,2007,11.517,245.214,0.62,5.133,69.851,A,0,365,1774.2154
HF004,4,GSWSMC,2008,14.717,151.391,0.94,6.559,89.537,A,2,366,2274.2398
HF004,4,GSWSMC,2009,12.673,225.969,0.692,5.648,76.872,A,0,365,1952.5488
HF004,4,GSWSMC,2010,9.999,111.171,0.719,4.457,60.635,E,56,365,1540.129
HF004,4,GSWSMC,2011,13.404,320.589,0.754,5.974,81.364,E,149,365,2066.6456
HF004,4,GSWSMC,2012,12.987,195.474,0.713,5.788,79.509,A,0,366,2019.5286
HF004,4,GSWSMC,2013,10.34,192.185,0.715,4.609,65.232,A,0,365,1656.8928
HF004,4,GSWSMC,2014,12.278,225.967,0.763,5.472,74.282,A,0,365,1886.7628
HF004,4,GSWSMC,2015,8.122,244.715,0.669,3.62,49.135,A,5,365,1248.029
HF004,4,GSWSMC,2016,11.331,164.327,0.582,5.05,68.738,A,1,366,1745.9452
HF004,4,GSWSMC,2017,13.96,140.641,0.726,6.221,84.453,A,1,365,2145.1062
HF004,4,GSWSMC,2018,10.559,221.708,0.706,4.706,63.881,A,0,365,1622.5774
HF004,4,GSWSMC,2019,9.158,418.786,1.198,4.081,55.407,A,8,365,1407.3378
HF004,4,GSWSMF,1996,1.53,9.964,0,0.682,9.279,A,5,366,235.6866
HF004,4,GSWSMF,1997,0.409,5.286,0,0.182,2.466,A,0,365,62.6364
HF004,4,GSWSMF,1998,0.592,2.267,0,0.264,3.577,A,0,365,90.8558
HF004,4,GSWSMF,1999,0.598,3.089,0,0.266,3.616,A,0,365,91.8464
HF004,4,GSWSMF,2000,0.193,3.013,0,0.086,1.175,A,0,366,29.845
HF004,4,GSWSMF,2001,0.237,5.135,0,0.105,1.433,A,0,365,36.3982
HF004,4,GSWSMF,2002,0.212,2.909,0,0.095,1.272,A,0,365,32.3088
HF004,4,GSWSMF,2003,0.187,5.845,0,0.084,1.126,A,0,365,28.6004
HF004,4,GSWSMF,2004,0.157,1.767,0,0.07,0.947,A,0,366,24.0538
HF004,4,GSWSMF,2005,0.243,2.42,0,0.108,1.467,A,0,365,37.2618
HF004,4,GSWSMF,2006,0.187,1.773,0.001,0.083,1.129,A,0,365,28.6766
HF004,4,GSWSMF,2007,0.081,1.604,0,0.036,0.487,A,0,365,12.3698
HF004,4,GSWSMF,2008,0.066,2.223,0.001,0.029,0.388,A,2,366,9.8552
HF004,4,GSWSMF,2009,0.181,1.159,0,0.08,1.102,A,0,365,27.9908
HF004,4,GSWSMF,2010,0.372,6.299,0.001,0.166,2.241,E,44,365,56.9214
HF004,4,GSWSMF,2011,0.215,2.643,0,0.096,1.298,E,149,365,32.9692
HF004,4,GSWSMF,2012,0.164,2.538,0,0.073,0.99,A,0,366,25.146
HF004,4,GSWSMF,2013,0.262,4.206,0,0.117,1.59,A,0,365,40.386
HF004,4,GSWSMF,2014,0.253,2.32,0,0.113,1.534,A,0,365,38.9636
HF004,4,GSWSMF,2015,0.114,1.037,0,0.051,0.689,A,3,365,17.5006
HF004,4,GSWSMF,2016,0.13,1.195,0,0.058,0.786,A,1,366,19.9644
HF004,4,GSWSMF,2017,0.243,2.983,0.002,0.108,1.471,A,1,365,37.3634
HF004,4,GSWSMF,2018,0.126,1.257,0,0.056,0.765,A,0,365,19.431
HF004,4,GSWSMF,2019,0.041,0.593,0.001,0.018,0.249,A,0,365,6.3246
