STCODE,ENTITY,SITECODE,WATERYEAR,Q_AREA_YR,QCODE_YR,PH_YR,PHCODE_YR,COND_YR,CONDCODE_YR,ALK_YR,ALKCODE_YR,SSED_YR,SSEDCODE_YR,SI_YR,SICODE_YR,UTP_YR,UTPCODE_YR,TDP_YR,TDPCODE_YR,PARTP_YR,PARTPCODE_YR,PO4P_YR,PO4PCODE_YR,UTN_YR,UTNCODE_YR,TDN_YR,TDNCODE_YR,DON_YR,DONCODE_YR,PARTN_YR,PARTNCODE_YR,UTKN_YR,UTKNCODE_YR,TKN_YR,TKNCODE_YR,NH3N_YR,NH3NCODE_YR,NO3N_YR,NO3NCODE_YR,NA_YR,NACODE_YR,K_YR,KCODE_YR,CA_YR,CACODE_YR,MG_YR,MGCODE_YR,SO4S_YR,SO4SCODE_YR,CL_YR,CLCODE_YR,DOC_YR,DOCCODE_YR
CF002,3,"GSWS09",1972,198.70,E,7.1,A,44.6,I,15.00,A,3.32,E,5.36,Q,,N,0.038,A,,N,0.023,A,,N,0.05,D,0.05,D,,N,,N,0.05,A,0.001,A,0.001,A,1.97,E,0.08,A,3.32,A,0.82,E,0.16,IE,,N,,N
CF002,3,"GSWS09",1973,64.14,E,7.2,IE,,N,17.08,A,0.86,E,4.15,Q,,N,0.051,A,,N,0.022,A,,N,0.04,DE,0.04,ID,,N,,N,0.04,A,0.000,I,0.001,E,1.81,E,0.13,E,2.78,E,0.92,A,,N,,N,,N
CF002,3,"GSWS09",1974,207.31,A,7.3,IE,,N,17.92,A,9.51,E,5.39,Q,0.060,IE,0.043,E,0.023,IDE,0.029,E,,N,0.06,DE,,N,,N,,N,0.05,E,,N,0.005,E,2.11,A,0.30,A,3.46,A,0.99,A,,N,,N,,N
CF002,3,"GSWS09",1975,145.71,E,7.4,IE,51.9,I,17.62,A,2.42,E,6.08,Q,0.049,E,0.037,A,0.013,DE,0.020,A,,N,0.04,D,,N,,N,,N,0.04,A,,N,0.002,A,2.16,A,0.14,A,2.92,A,0.85,A,,N,,N,,N
CF002,3,"GSWS09",1976,166.54,E,7.4,IE,37.0,IE,17.42,A,7.08,A,5.14,Q,0.059,A,0.042,A,0.017,D,0.024,A,,N,0.05,D,,N,,N,,N,0.05,A,,N,0.004,A,2.33,A,0.14,A,4.01,A,0.96,A,,N,,N,,N
CF002,3,"GSWS09",1977,37.23,E,7.4,E,46.8,A,21.08,A,1.25,A,5.73,Q,0.055,A,0.036,A,0.018,D,0.015,A,,N,0.07,D,,N,,N,,N,0.07,A,,N,0.001,A,2.49,A,0.25,A,4.85,A,1.12,A,,N,,N,,N
CF002,3,"GSWS09",1978,129.98,E,7.1,A,40.2,I,18.25,A,1.67,A,5.83,Q,0.052,E,0.041,A,0.012,DE,0.021,A,0.09,ID,0.07,D,0.06,ID,0.02,ID,0.09,I,0.07,A,0.015,I,0.002,A,2.29,A,0.16,A,3.75,A,1.02,A,0.23,I,1.31,I,,N
CF002,3,"GSWS09",1979,115.14,E,7.4,I,,N,18.75,I,1.63,I,6.76,IQ,0.041,IE,0.032,I,0.009,IDE,0.023,I,0.06,ID,0.05,ID,0.03,ID,0.02,ID,0.06,I,0.04,I,0.019,I,0.003,I,1.94,I,0.33,I,4.36,I,0.94,I,0.23,IE,1.28,I,,N
CF002,3,"GSWS09",1980,113.09,E,7.2,I,64.1,I,21.08,I,1.52,I,8.55,IQ,0.044,I,0.038,I,0.006,ID,0.021,I,0.06,ID,0.05,ID,0.04,ID,0.01,ID,0.06,I,0.05,I,0.008,I,0.002,I,2.39,I,0.25,IE,3.93,I,1.15,I,0.35,I,1.42,I,,N
CF002,3,"GSWS09",1981,104.55,A,7.2,A,44.3,A,24.21,A,1.93,A,8.74,Q,0.051,A,0.044,A,0.007,D,0.021,A,0.08,DE,0.06,DE,0.05,DE,0.02,DE,0.08,E,0.06,E,0.008,A,0.005,A,2.30,A,0.18,A,4.14,A,1.26,A,,N,,N,,N
CF002,3,"GSWS09",1982,189.26,E,7.2,A,38.6,A,17.75,A,3.50,A,7.91,IQ,0.056,I,0.049,A,0.007,ID,0.019,I,0.07,ID,0.05,D,0.05,ID,0.02,ID,0.07,I,0.05,A,0.003,I,0.001,A,2.28,E,0.18,A,3.90,E,1.15,A,,N,,N,,N
CF002,3,"GSWS09",1983,158.30,A,7.4,A,41.6,A,19.50,A,2.16,A,6.91,Q,0.044,A,0.042,A,0.002,D,,N,0.06,D,0.05,D,0.02,ID,0.02,D,0.06,A,0.04,A,0.009,I,0.002,A,2.32,A,0.19,E,3.99,E,1.19,A,,N,,N,,N
CF002,3,"GSWS09",1984,179.75,A,7.4,A,38.6,A,20.21,A,2.34,A,9.06,A,0.042,A,0.035,A,0.006,D,,N,0.07,DE,0.05,DE,0.04,ID,0.02,D,0.06,A,0.04,A,0.006,I,0.004,E,2.48,A,0.17,A,3.49,E,1.13,A,0.41,I,1.68,I,,N
CF002,3,"GSWS09",1985,128.25,E,7.6,A,42.8,A,20.12,A,2.10,A,9.09,A,0.046,A,0.042,A,0.005,D,,N,0.07,D,0.05,D,0.04,D,0.02,D,0.07,A,0.05,A,0.009,A,0.002,A,2.44,A,0.14,A,3.47,E,1.17,A,,N,,N,,N
