Location,Instr_ID,Date_,Dailyflow_
WS77,Weir77,1/1/1964,NULL
WS77,Weir77,1/2/1964,NULL
WS77,Weir77,1/3/1964,NULL
WS77,Weir77,1/4/1964,NULL
WS77,Weir77,1/5/1964,NULL
WS77,Weir77,1/6/1964,NULL
WS77,Weir77,1/7/1964,NULL
WS77,Weir77,1/8/1964,NULL
WS77,Weir77,1/9/1964,NULL
WS77,Weir77,1/10/1964,NULL
WS77,Weir77,1/11/1964,NULL
WS77,Weir77,1/12/1964,NULL
WS77,Weir77,1/13/1964,NULL
WS77,Weir77,1/14/1964,NULL
WS77,Weir77,1/15/1964,NULL
WS77,Weir77,1/16/1964,NULL
WS77,Weir77,1/17/1964,NULL
WS77,Weir77,1/18/1964,NULL
WS77,Weir77,1/19/1964,NULL
WS77,Weir77,1/20/1964,NULL
WS77,Weir77,1/21/1964,NULL
WS77,Weir77,1/22/1964,NULL
WS77,Weir77,1/23/1964,NULL
WS77,Weir77,1/24/1964,NULL
WS77,Weir77,1/25/1964,NULL
WS77,Weir77,1/26/1964,NULL
WS77,Weir77,1/27/1964,NULL
WS77,Weir77,1/28/1964,NULL
WS77,Weir77,1/29/1964,NULL
WS77,Weir77,1/30/1964,NULL
WS77,Weir77,1/31/1964,NULL
WS77,Weir77,2/1/1964,NULL
WS77,Weir77,2/2/1964,NULL
WS77,Weir77,2/3/1964,NULL
WS77,Weir77,2/4/1964,NULL
WS77,Weir77,2/5/1964,NULL
WS77,Weir77,2/6/1964,NULL
WS77,Weir77,2/7/1964,NULL
WS77,Weir77,2/8/1964,NULL
WS77,Weir77,2/9/1964,NULL
WS77,Weir77,2/10/1964,NULL
WS77,Weir77,2/11/1964,NULL
WS77,Weir77,2/12/1964,NULL
WS77,Weir77,2/13/1964,NULL
WS77,Weir77,2/14/1964,NULL
WS77,Weir77,2/15/1964,NULL
WS77,Weir77,2/16/1964,NULL
WS77,Weir77,2/17/1964,NULL
WS77,Weir77,2/18/1964,NULL
WS77,Weir77,2/19/1964,NULL
WS77,Weir77,2/20/1964,NULL
WS77,Weir77,2/21/1964,NULL
WS77,Weir77,2/22/1964,NULL
WS77,Weir77,2/23/1964,NULL
WS77,Weir77,2/24/1964,NULL
WS77,Weir77,2/25/1964,NULL
WS77,Weir77,2/26/1964,NULL
WS77,Weir77,2/27/1964,NULL
WS77,Weir77,2/28/1964,NULL
WS77,Weir77,2/29/1964,NULL
WS77,Weir77,3/1/1964,NULL
WS77,Weir77,3/2/1964,NULL
WS77,Weir77,3/3/1964,NULL
WS77,Weir77,3/4/1964,NULL
WS77,Weir77,3/5/1964,NULL
WS77,Weir77,3/6/1964,NULL
WS77,Weir77,3/7/1964,NULL
WS77,Weir77,3/8/1964,NULL
WS77,Weir77,3/9/1964,NULL
WS77,Weir77,3/10/1964,NULL
WS77,Weir77,3/11/1964,NULL
WS77,Weir77,3/12/1964,NULL
WS77,Weir77,3/13/1964,NULL
WS77,Weir77,3/14/1964,NULL
WS77,Weir77,3/15/1964,NULL
WS77,Weir77,3/16/1964,NULL
WS77,Weir77,3/17/1964,NULL
WS77,Weir77,3/18/1964,NULL
WS77,Weir77,3/19/1964,NULL
WS77,Weir77,3/20/1964,NULL
WS77,Weir77,3/21/1964,NULL
WS77,Weir77,3/22/1964,NULL
WS77,Weir77,3/23/1964,NULL
WS77,Weir77,3/24/1964,NULL
WS77,Weir77,3/25/1964,NULL
WS77,Weir77,3/26/1964,NULL
WS77,Weir77,3/27/1964,NULL
WS77,Weir77,3/28/1964,NULL
WS77,Weir77,3/29/1964,NULL
WS77,Weir77,3/30/1964,NULL
WS77,Weir77,3/31/1964,NULL
WS77,Weir77,4/1/1964,NULL
WS77,Weir77,4/2/1964,NULL
WS77,Weir77,4/3/1964,NULL
WS77,Weir77,4/4/1964,NULL
WS77,Weir77,4/5/1964,NULL
WS77,Weir77,4/6/1964,NULL
WS77,Weir77,4/7/1964,NULL
WS77,Weir77,4/8/1964,NULL
WS77,Weir77,4/9/1964,NULL
WS77,Weir77,4/10/1964,NULL
WS77,Weir77,4/11/1964,NULL
WS77,Weir77,4/12/1964,NULL
WS77,Weir77,4/13/1964,NULL
WS77,Weir77,4/14/1964,NULL
WS77,Weir77,4/15/1964,NULL
WS77,Weir77,4/16/1964,NULL
WS77,Weir77,4/17/1964,NULL
WS77,Weir77,4/18/1964,NULL
WS77,Weir77,4/19/1964,NULL
WS77,Weir77,4/20/1964,NULL
WS77,Weir77,4/21/1964,NULL
WS77,Weir77,4/22/1964,NULL
